,Gene Name,log2(Fold change),P-value
727,S100A10,0.005,0.983
728,CDC42,-1.206,0.065
729,DSTN,-0.601,0.075
730,RAB10,-0.495,0.467
731,UBE2K,-2.053,0.113
732,UBE2N,1.645,0.002
733,ACTR3,1.269,0.035
734,ACTR2,0.847,0.016
735,ACTR1A,0.069,0.767
736,COPS2,1.19,0.012
737,RAP1B;RAP1A,-2.508,0.001
738,RPS3A,0.284,0.245
739,RPL26;RPL26L1,0.743,0.215
740,RPL15,0.03,0.915
741,RPL27,-0.419,0.193
742,RPL37A,-0.592,0.119
743,RHOA,-0.403,0.196
744,HSPE1;HSPE1-MOB4,0.573,0.054
745,NUTF2,0.292,0.386
746,HNRNPK,-0.569,0.067
747,YWHAG,0.377,0.271
748,RPS7,-0.197,0.452
749,PPP1CA,-0.423,0.202
750,PPP1CB,-0.288,0.411
751,PSMC1,1.17,0.015
752,PSMC5,0.647,0.06
753,RPS8,-0.16,0.506
754,RPS15A,0.597,0.079
755,RPS16,0.532,0.532
756,YWHAE,0.032,0.892
757,RPS23,0.726,0.211
758,RPS18,-0.548,0.064
759,RPS29,0.799,0.531
760,RPS13,-0.347,0.288
761,RPS11,0.264,0.277
762,SNRPF,-0.029,0.938
763,LSM3,3.769,0.122
764,SNRPD1,0.777,0.037
765,SNRPD2,0.739,0.023
766,SNRPD3,-1.032,0.032
767,TMSB4X,-0.355,0.616
768,PSMC6,0.818,0.08
769,RPL7A,-0.303,0.215
770,ETF1,1.25,0.007
771,RPS4X,0.496,0.105
772,PPP2CA;PPP2CB,-0.345,0.202
773,RPS6,0.897,0.041
774,HIST1H4A,-1.64,0.013
775,RPL23,0.741,0.035
776,RPS25,0.43,0.428
777,RPS26;RPS26P11,-0.308,0.249
778,RPS28,-0.033,0.919
779,GNB1,0.054,0.816
780,GNB2,0.043,0.917
781,RPL31,0.745,0.023
782,RPL10A,-0.05,0.822
783,RPL11,-0.132,0.591
784,RPL8,0.349,0.371
785,PPIA,-1.25,0.004
