,Gene Name,log2(Fold change),P-value
274,VKORC1,-0.173,0.275
275,FDFT1,0.587,0.243
276,RAE1,-0.54,0.008
277,FAU,-0.051,0.686
278,ACP1,0.408,0.092
279,LSM8,-0.457,0.031
280,TMEM258,0.163,0.455
281,MLEC,0.074,0.612
282,PTMS,0.857,0.042
283,OTUB1,-0.245,0.204
284,ATP6V0D1,0.175,0.653
285,SLC3A2,-0.036,0.824
286,RAB35,0.22,0.535
287,MPDZ,-0.506,0.076
288,TUBA1C,0.183,0.281
289,GRSF1,0.018,0.899
290,MYO1C,0.089,0.787
291,GNS,-0.321,0.19
292,GLOD4,-0.114,0.559
293,POLDIP3;PDIP46,0.153,0.653
294,RANBP1,-0.029,0.829
295,CAD,0.132,0.318
296,LIMA1,0.583,0.17
297,SLC25A3,0.019,0.884
298,PPP1CC;PPP1CB,-0.278,0.116
299,PCBP2,-0.217,0.136
300,AK2,-0.105,0.426
301,MYL6,0.259,0.167
302,COPZ1,-0.462,0.014
303,HNRNPA1,-0.006,0.969
304,MRE11A,-0.404,0.149
305,IGF2BP2,-2.349,0.0
306,NDUFA5,0.033,0.856
307,DDX56,0.371,0.359
308,CAPRIN1,-0.669,0.045
309,API5,-0.385,0.081
310,GOLT1B,0.113,0.409
311,RPL18,0.475,0.019
312,SNW1,-0.674,0.053
313,SRP54,0.815,0.519
314,PSMA6,0.066,0.638
315,PRKRA,0.016,0.924
316,MRPS22,0.004,0.986
317,CELF1,-0.106,0.502
318,HNRNPH1,-0.222,0.172
319,ZYX,0.136,0.651
320,IMPDH2,0.067,0.631
321,HNRNPD,-0.015,0.921
322,RRM2B,-0.375,0.14
323,TPD52,-0.01,0.935
324,CD44,0.459,0.117
325,EMC7,-0.0,0.999
326,HADHA,0.065,0.666
327,REXO2,0.414,0.038
328,DUT,-0.089,0.696
329,RPL28,-0.009,0.952
330,TMOD3,0.535,0.066
331,TPM1,0.301,0.336
332,PSMA4,-0.276,0.082
333,ANP32A,-0.041,0.854
334,RNPS1,-0.217,0.218
335,IST1,-0.163,0.238
336,HN1L,-0.266,0.086
337,,-0.509,0.021
338,RPS17,0.119,0.398
339,HEXA,-0.45,0.027
340,MACF1,1.124,0.004
341,FUS,0.097,0.558
342,NDUFB10,-0.405,0.167
343,NOB1,-1.357,0.0
344,BOLA2;BOLA2B,0.402,0.022
345,HNRNPLL,0.014,0.922
346,DHX30,-0.142,0.345
347,PDIA3,0.219,0.269
348,C7orf50,-1.615,0.005
349,EBNA1BP2,0.029,0.829
350,USP13,0.076,0.748
351,NSF,-0.374,0.143
352,SLC25A11,-0.716,0.005
353,EIF5A;EIF5AL1;EIF5A2,-0.255,0.12
354,C1QBP,-0.013,0.916
355,UBE2Z,0.128,0.721
356,SRSF2,-0.176,0.337
357,OLA1,0.128,0.354
358,PTRH2,-0.176,0.217
359,SUMF2,-0.184,0.441
360,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.102,0.474
361,IARS,0.094,0.477
362,PPP4R1,0.027,0.92
363,CBX1,-0.095,0.488
364,NUP85,-0.705,0.026
365,HN1,-0.091,0.476
366,DDX5,-0.196,0.263
367,RPL19,0.102,0.466
368,SRSF1,-0.145,0.447
369,SNRPB;SNRPN,-0.335,0.056
370,MRPS23,-0.114,0.527
371,MRPS7,-0.261,0.094
372,MYL12B;MYL12A;MYL9,0.273,0.107
373,ZNF207,0.043,0.795
374,YES1;SRC,-0.573,0.013
375,BUB3,-0.697,0.003
376,UNC13D,0.205,0.248
377,LONP1,-0.265,0.244
378,PRKCSH,0.109,0.42
379,SEH1L,-0.354,0.052
380,PARK7,-0.217,0.157
381,EIF1;EIF1B,-0.075,0.619
382,NCLN,-0.786,0.107
383,U2AF2,-0.215,0.255
384,EIF3K,-0.142,0.325
385,PSME3,-0.046,0.755
386,ETHE1,-0.063,0.739
387,SLC1A5,-0.355,0.29
388,AP2S1,-0.469,0.015
389,HNRNPM,-0.801,0.397
390,TIMM50,-0.943,0.126
391,RPS5,0.297,0.065
