,Gene Name,log2(Fold change),P-value
315,SLC1A5,0.358,0.05
316,AP2S1,-0.538,0.03
317,HNRNPM,0.128,0.559
318,EXOSC5,0.18,0.405
319,RPS5,0.289,0.077
320,TECR,-0.703,0.01
321,AGPS,-0.108,0.468
322,DDX39A,0.258,0.148
323,PSMD11,-0.137,0.394
324,PGRMC1,-0.296,0.104
325,DFFA,0.002,0.99
326,CLIC1,0.206,0.388
327,EIF3F,-0.173,0.477
328,IPO5,0.3,0.055
329,SAP18,0.721,0.316
330,DNM1L,0.08,0.617
331,PSMD14,-0.039,0.789
332,PODXL,-0.476,0.121
333,PPP6C,0.037,0.765
334,PDXK,0.049,0.82
335,SLC9A3R1,0.038,0.773
336,TCERG1,-0.954,0.058
337,PSMA7,-0.222,0.145
338,SCAMP3,-0.574,0.034
339,HAT1,-0.15,0.378
340,UQCRQ,0.003,0.992
341,XPO1,-0.05,0.878
342,PLXNB2,-0.293,0.104
343,PFAS,0.312,0.244
344,ARPC1B,-0.117,0.428
345,ARPC3,-0.091,0.596
346,PGRMC2,-0.019,0.9
347,SURF4,0.026,0.857
348,PPM1G,0.173,0.587
349,EIF3D,0.275,0.137
350,STX7,0.403,0.194
351,MAGEB2,-0.073,0.591
352,DHX15,-0.014,0.929
353,PRPF4,-1.847,0.0
354,PSMD3,0.275,0.293
355,ZW10,0.029,0.869
356,SART1,-0.158,0.221
357,HNRNPR,-0.111,0.439
358,EPB41L2,0.505,0.01
359,LAMTOR5,-0.744,0.015
360,TIMM44,0.636,0.184
361,PLRG1,-0.054,0.69
362,ASNA1,-0.06,0.693
363,ACTN4,0.042,0.724
364,NARS,0.022,0.911
365,NUDT21,-0.58,0.008
366,RRP9,-0.149,0.304
367,CALU,-0.073,0.613
368,TIMM8A,0.294,0.323
369,SMARCA5,-0.175,0.419
370,SYNCRIP,0.198,0.197
371,PLOD3,0.153,0.373
372,PLIN3,0.019,0.88
373,KPNA6,-1.163,0.335
374,SNX2,-0.239,0.124
375,PQBP1,0.348,0.037
376,DKC1,0.059,0.639
377,EDF1,-0.144,0.262
378,CUTA,0.324,0.253
379,WDR1,0.016,0.896
380,CPNE3,-0.105,0.404
381,NDUFS2,0.1,0.519
382,PDCD6,-0.016,0.893
383,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.441,0.018
384,H2AFY,-0.186,0.266
385,FLNB,0.533,0.023
386,SEC22B,-0.014,0.921
387,VPS26A,-0.207,0.31
388,PMPCB,-0.042,0.792
389,PSIP1,-0.869,0.117
390,SRSF10,0.399,0.035
391,BANF1,-0.204,0.139
392,SF3B1,0.124,0.334
393,CSDE1,-0.436,0.082
394,PRKRA,-0.004,0.981
395,NPM3,0.283,0.233
396,ERAL1,0.682,0.064
397,SNRNP200,-0.072,0.666
398,EIF3J,0.589,0.044
399,DNAJC8,-0.407,0.027
400,ATP5H,-0.138,0.304
401,ATP5L,-0.005,0.976
402,RSL1D1,0.029,0.838
403,SRP72,-0.705,0.015
404,MTA2,-0.26,0.132
405,TOMM70A,0.222,0.178
406,GLS,-0.534,0.078
407,ZFPL1,-0.466,0.028
408,VAPB,-0.255,0.582
409,SMC2,-0.254,0.273
410,IPO7,0.227,0.352
411,AHSA1,-0.193,0.351
412,ACSL3,0.166,0.539
413,AP2A1,0.009,0.952
414,BAG2,-0.015,0.923
415,AIFM1,0.321,0.232
416,TXNDC12,0.363,0.236
417,ACTL6A,-0.971,0.037
418,CYB5A,-0.09,0.713
419,LDHA,-0.03,0.838
420,GLUD1;GLUD2,0.077,0.524
421,CYB5R3,-0.047,0.779
422,MT-CO2,0.25,0.468
423,SOD1,-0.091,0.641
424,PNP,-0.171,0.582
425,HPRT1,0.224,0.25
426,GOT2,0.014,0.913
427,PGK1,0.009,0.939
428,NRAS,-1.384,0.001
429,LMNA,-0.234,0.12
430,TFRC,0.13,0.533
431,CAT,-0.197,0.368
432,GBA,-0.592,0.013
433,ALDOA,-0.252,0.088
434,ANXA1,-0.231,0.167
435,SOD2,-0.566,0.016
436,OAT,0.05,0.736
437,TUBB4A,-0.456,0.105
438,GAPDH,-0.146,0.255
439,HSPB1,-0.022,0.908
440,TYMS,-0.795,0.003
441,RPN1,-0.157,0.234
442,RPN2,0.074,0.55
443,GNAI2,-0.399,0.022
444,ATP1A1,-0.079,0.572
445,ATP1B1,0.12,0.658
