,Gene Name,log2(Fold change),P-value
288,NAPA,0.309,0.449
289,AGPS,0.663,0.047
290,ACOT7,1.434,0.004
291,AIP,0.844,0.099
292,PSMD11,0.849,0.052
293,PGRMC1,0.42,0.402
294,DFFA,0.78,0.425
295,CLIC1,0.131,0.62
296,EIF3F,1.434,0.1
297,IPO5,1.45,0.003
298,DNM1L,0.119,0.765
299,PSMD14,0.877,0.065
300,PODXL,-0.891,0.111
301,PDXK,-0.082,0.846
302,PDCD5,0.429,0.255
303,PRMT5,2.043,0.003
304,TCERG1,0.338,0.538
305,PSMA7,0.231,0.576
306,SCAMP3,1.866,0.013
307,HAT1,0.267,0.334
308,UQCRQ,0.872,0.121
309,XPO1,1.028,0.009
310,PFAS,1.316,0.006
311,ARPC1B,0.707,0.04
312,ARPC3,-0.806,0.121
313,PGRMC2,0.639,0.067
314,PFDN6,0.304,0.623
315,PPM1G,0.489,0.23
316,EIF3D,0.998,0.043
317,MAGEB2,-0.748,0.109
318,ARPC5,0.977,0.015
319,DHX15,1.664,0.013
320,PSMD3,2.716,0.002
321,SART1,-1.531,0.017
322,HNRNPR,-0.118,0.838
323,TPD52L2,1.819,0.002
324,PPIH,-0.135,0.607
325,TRAPPC3,1.16,0.039
326,ASNA1,0.413,0.444
327,ACTN4,0.571,0.071
328,SGTA,1.679,0.002
329,NARS,0.938,0.055
330,NUDT21,0.57,0.542
331,RRP9,0.031,0.908
332,NRD1,3.844,0.161
333,CALU,0.711,0.443
334,AHCYL1;AHCYL2,2.97,0.0
335,TIMM8A,1.977,0.003
336,SYNCRIP,1.961,0.001
337,PLOD3,9.024,0.0
338,PLIN3,1.046,0.064
339,KPNA6,1.511,0.014
340,UGDH,1.373,0.005
341,USO1,2.019,0.016
342,PQBP1,0.693,0.051
343,EDF1,0.152,0.75
344,CUTA,1.497,0.01
345,WDR1,1.319,0.005
346,CPNE3,0.816,0.035
347,NDUFS2,0.657,0.099
348,PDCD6,2.271,0.075
349,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-1.195,0.009
350,H2AFY,0.477,0.357
351,FLNB,2.559,0.001
352,SEC22B,0.252,0.343
353,VPS26A,0.706,0.119
354,ERLIN1;ERLIN2,0.675,0.035
355,BANF1,-1.974,0.001
356,SF3B1,0.847,0.018
357,CSDE1,0.095,0.916
358,NPM3,0.945,0.336
359,SNRNP200,0.994,0.011
360,EIF3J,0.971,0.435
361,IDH1,0.294,0.566
362,DCTN3,0.932,0.242
363,ATP5H,1.368,0.003
364,ATP5L,1.227,0.041
365,GLRX3,2.652,0.0
366,RSL1D1,1.63,0.119
367,SRP72,-0.071,0.941
368,MTA2,0.84,0.1
369,GLS,1.388,0.059
370,NDUFB4,0.469,0.744
371,SMC2,1.452,0.008
372,LYPLA2,3.172,0.0
373,IPO7,0.886,0.157
374,AHSA1,0.748,0.227
375,AP2A1,0.825,0.165
376,BAG2,2.225,0.004
377,BPNT1,5.096,0.0
378,TXNDC12,-0.609,0.134
379,ACTL6A,1.312,0.025
380,LDHA,-0.328,0.243
381,GLUD1;GLUD2,1.021,0.023
382,CYB5R3,0.612,0.389
383,GSR,1.289,0.015
384,SOD1,0.729,0.063
385,PNP,-1.694,0.009
386,GOT2,0.05,0.921
387,PGK1,0.168,0.524
388,LMNA,0.582,0.162
389,TFRC,0.823,0.064
390,CAT,0.406,0.247
391,GBA,-1.097,0.161
392,ALDOA,-0.375,0.167
393,ANXA1,0.009,0.97
394,SOD2,1.086,0.048
395,OAT,0.56,0.067
396,GAPDH,-0.747,0.032
397,HSPB1,-1.569,0.006
398,TYMS,-0.55,0.109
399,RPN1,-0.037,0.877
400,GNAI2,-0.049,0.883
401,ATP1A1,0.702,0.033
402,ATP1B1,2.171,0.001
403,ALDH2,0.975,0.016
404,SLC25A5,-0.21,0.498
405,EIF2S1,-0.692,0.047
406,RPLP1,0.04,0.895
407,RPLP2,-0.5,0.102
408,RPLP0,0.368,0.244
409,SSB,1.269,0.021
410,ITGB1,-0.844,0.017
411,KRT18,0.27,0.393
412,UROD,-0.069,0.777
413,CDK1;CDC2,0.576,0.115
414,ATP5B,-0.118,0.646
415,ENO1,0.903,0.115
416,PYGL,0.832,0.018
417,GPI,0.044,0.91
418,NPM1,-0.215,0.668
419,DBI,-0.46,0.153
420,LDHB,-0.553,0.093
421,P4HB,0.734,0.062
422,ANXA2;ANXA2P2,-0.156,0.646
423,CAPN1,0.803,0.082
424,TUBB,-0.136,0.726
425,PSAP,-0.453,0.41
426,PFN1,-0.533,0.069
427,APRT,2.58,0.003
428,EPRS,1.153,0.008
429,CTSB,-1.496,0.005
430,HSP90AA1,0.209,0.433
431,UQCRH;UQCRHL,0.96,0.011
432,FH,1.855,0.002
433,ANXA6,0.754,0.042
434,RHOC;RHOA,0.82,0.022
435,HSP90AB1,-0.234,0.357
436,ASNS,0.093,0.774
437,PDHA1;PDHA2,1.51,0.003
438,CYC1,0.277,0.324
439,SNRNP70,0.445,0.177
440,VIM,-0.585,0.058
441,ANXA5,-0.121,0.619
442,ENO2,0.011,0.976
443,GSTP1,0.152,0.58
444,LGALS1,-1.316,0.019
445,HMGB1,-0.685,0.064
446,RBP1,-0.238,0.632
447,CLTA,1.342,0.003
448,ANXA4,0.558,0.123
449,DLD,0.212,0.524
450,SNRPA1,2.088,0.009
451,PARP1,0.859,0.016
452,LTA4H,1.995,0.001
453,H2AFV;H2AFZ,-0.763,0.109
454,U2AF1,-0.147,0.789
455,CALM2;CALM3;CALM1,-0.243,0.378
456,TUBA3E,2.153,0.001
457,GAA,-0.462,0.245
458,HIST1H1E;HIST1H1D,-1.162,0.013
459,DLAT,2.693,0.009
460,TXN,-0.816,0.037
461,COX5B,0.814,0.05
462,ESD,1.781,0.003
463,HSPD1,0.4,0.141
464,HSPA5,0.38,0.248
465,HSPA8,0.938,0.485
466,SLC2A3;SLC2A14,0.456,0.634
467,UMPS,0.991,0.011
468,PDHB,1.017,0.013
469,LAMP1,-0.013,0.966
470,TOP2A,0.283,0.573
471,G6PD,-0.281,0.586
472,PABPC1,0.097,0.721
473,PCNA,0.109,0.8
474,HARS,1.232,0.009
475,SLC25A6,0.093,0.753
476,IMPDH2,0.322,0.259
477,CKB,1.695,0.001
478,ANXA3,1.422,0.003
479,ACTN1,1.152,0.013
480,XRCC6,0.811,0.023
481,XRCC5,0.815,0.023
482,COX4I1,-0.297,0.816
483,RNH1,0.603,0.075
484,EEF2,0.135,0.572
485,PDIA4,0.686,0.089
486,ETFA,1.376,0.003
487,PRKAR2A,1.828,0.004
488,MTHFD2,1.264,0.006
489,MIF,-1.884,0.011
490,FDPS,0.401,0.238
491,AKR1A1,-0.818,0.083
492,PKM,-0.496,0.091
493,HSP90B1,0.28,0.335
494,COX6B1,-0.116,0.798
495,DARS,0.388,0.168
496,AKR1B1,1.287,0.014
497,GSPT1,0.697,0.116
498,EZR,0.369,0.393
499,RPS2,0.053,0.819
500,CBR1,0.919,0.017
501,HIST1H1C,-1.366,0.006
502,STMN1,0.288,0.342
503,HSPA6;HSPA7,-0.349,0.314
504,HMGA1,-0.362,0.614
505,GOT1,0.685,0.116
506,CAPN2,0.425,0.632
507,PFKL,1.071,0.043
508,TCP1,1.319,0.009
509,RPL35A,0.814,0.062
510,RPL7,-0.281,0.279
511,VCL,1.749,0.005
512,SON,1.678,0.004
513,PGAM1;PGAM4,0.389,0.282
514,NCL,0.912,0.017
515,HK1,1.556,0.005
516,SRM,0.099,0.754
517,CSNK2A2,1.006,0.082
518,EIF2S2,0.011,0.986
519,ANXA7,0.953,0.058
520,BTF3,-1.044,0.171
521,PSMB1,0.381,0.547
522,M6PR,0.02,0.938
523,LMNB1,0.458,0.316
524,ATP6V1B2,0.014,0.963
525,ATP6V1C1,-0.479,0.102
526,ACO1,0.843,0.043
527,VDAC1,0.99,0.054
528,TGM2,0.895,0.015
529,GART,0.71,0.205
530,PAICS,0.834,0.021
531,SCP2,1.602,0.012
532,UBA1,0.025,0.915
533,FDXR,1.0,0.059
534,HNRNPA2B1,-0.02,0.935
535,UQCRC2,2.246,0.002
536,SFPQ,1.366,0.003
537,TUBG1;TUBG2,1.052,0.02
538,PPIB,-0.49,0.151
539,RPS3,0.909,0.015
540,AHCY,0.633,0.044
541,CFL1,-0.653,0.072
542,DTYMK,1.458,0.005
543,EEF1B2,0.434,0.462
544,ATP5F1,0.655,0.063
545,ACP1,0.088,0.712
546,MCM3,0.807,0.036
547,RPS12,0.63,0.049
548,ATP5A1,0.264,0.3
549,PSMA1,0.516,0.083
550,PSMA3,0.984,0.027
551,ITGA3,-0.038,0.919
552,MSN,0.513,0.08
553,DDX6,1.027,0.062
554,U2AF2,1.364,0.007
555,RPL13,0.073,0.79
556,PTBP1,0.484,0.171
557,TARS,1.128,0.025
558,VARS,1.263,0.01
559,EEF1G,0.935,0.063
560,STOM,0.181,0.573
561,AK4,3.748,0.002
562,YWHAQ,0.06,0.891
563,RPL10,-0.23,0.446
564,APEX1,-0.331,0.27
565,CALR,-0.142,0.706
566,CANX,0.762,0.029
567,PSMA5,-0.178,0.679
568,PSMB4,0.572,0.122
569,PSMB6,0.914,0.048
570,PSMB5,0.788,0.098
571,NDUFS1,0.829,0.104
572,MAPK1,-0.115,0.743
573,LAP3,1.068,0.037
574,IMPA1,0.793,0.21
575,TKT,1.355,0.005
576,ERP29,-0.848,0.036
577,PRDX6,0.154,0.635
578,BLVRB,-0.942,0.07
579,PRDX5,0.257,0.491
580,PRDX3,-0.578,0.088
581,RPL12,0.605,0.279
582,ECHS1,0.761,0.207
583,CMPK1,1.535,0.034
584,PEBP1,0.77,0.13
585,PDIA3,0.208,0.524
586,PPP2R1A,0.17,0.747
587,PPIF,1.183,0.013
588,ALDH1B1,1.672,0.002
589,SDHA,0.795,0.033
590,MAT2A,1.21,0.006
591,DNAJA1,-0.129,0.681
592,UQCRC1,1.554,0.021
593,ATIC,1.121,0.007
594,HNRNPH3,0.145,0.539
595,YWHAB,0.475,0.664
596,SFN,0.17,0.638
597,STIP1,0.291,0.324
598,S100A11,0.141,0.766
599,PRDX2,-0.513,0.398
600,PYCR1,-0.835,0.394
601,RPL9,-0.639,0.065
602,CD70,1.598,0.123
603,KIF5B,0.671,0.121
604,MCM7,-0.261,0.47
605,SHMT2,0.811,0.035
606,HSPA4,0.558,0.071
607,PHB,0.097,0.715
608,RPL22,0.123,0.607
609,SPR,2.494,0.003
610,MYH9,0.697,0.083
611,COPB2,1.577,0.005
612,PSMC2,1.253,0.15
613,ATP5C1,0.475,0.389
614,CPOX,0.627,0.469
615,RPL4,0.387,0.147
616,DLST,0.52,0.397
617,SRP14,-0.6,0.345
618,TAGLN2,-0.115,0.713
619,TALDO1,0.394,0.17
620,ETFB,0.332,0.336
621,ATP6V1A,0.346,0.206
622,HSPA9,0.143,0.556
623,EIF4A3,0.273,0.506
624,RPS19,1.099,0.057
625,RPL3,0.452,0.168
626,FEN1,0.701,0.085
627,CCT6A,0.235,0.363
628,NNMT,-0.481,0.227
629,RPL13A;RPL13a,-0.165,0.59
630,MDH1,-0.6,0.148
631,MDH2,0.501,0.096
632,RFC5,1.166,0.091
633,EIF2S3;EIF2S3L,0.866,0.015
634,GARS,0.963,0.217
635,ECI1;DCI,1.868,0.137
636,TMPO,1.541,0.004
637,LRPPRC,1.327,0.004
638,RPL35,0.346,0.554
639,MSH2,0.757,0.242
640,GPD2,-0.487,0.47
641,MAGEA4,-0.554,0.194
642,NAMPT,1.213,0.014
643,PSMC4,0.609,0.116
644,USP5,0.199,0.666
645,RANGAP1,0.614,0.079
646,RECQL,0.637,0.045
647,NOP2,1.121,0.009
648,RPL27A,-0.476,0.091
649,RPL5,0.916,0.017
650,RPL21,0.316,0.29
651,RPS9,-0.181,0.462
652,RPS10,0.265,0.291
653,IQGAP1,0.685,0.103
654,CAPZA2,0.786,0.049
655,CAPZB,0.01,0.968
656,QARS,0.629,0.264
657,ATP5O,0.718,0.045
658,ARCN1,1.153,0.006
659,LSS,1.466,0.038
660,PSMD8,1.224,0.015
661,CCT5,0.687,0.037
662,ALDH9A1,2.567,0.002
663,RPL34,-0.506,0.079
664,NASP,0.469,0.303
665,FASN,1.811,0.084
666,CCT3,0.186,0.479
667,TUFM,0.373,0.288
668,SRP9;DKFZp564M2223,0.082,0.8
669,AARS,-0.142,0.704
670,SARS,-0.448,0.188
671,PSMB2,0.641,0.148
672,MCM2,0.011,0.964
673,ACADVL,0.418,0.146
674,TMED10,0.979,0.061
675,HINT1,1.049,0.031
676,GMPS,0.456,0.657
677,GDI2,0.101,0.701
678,SERPINH1,-0.3,0.417
679,PDLIM4,0.09,0.843
680,ST13;ST13P5;ST13P4,0.31,0.238
681,VASP,0.098,0.775
682,NUDT2,0.478,0.099
683,CCT8,0.591,0.087
684,CCT4,0.81,0.02
685,ANXA11,0.442,0.15
686,RAB5C,-0.924,0.056
687,RAB7A,-0.684,0.401
688,DUSP3,0.908,0.023
689,SSR4,0.799,0.026
690,BCAP31,0.052,0.83
691,PSMD7,-0.273,0.547
692,HDGF,0.512,0.544
693,HNRNPA3,0.874,0.02
694,PGD,0.937,0.02
695,HNRNPM,0.191,0.477
696,KPNA2,-1.108,0.018
697,ARHGDIA,1.178,0.007
698,HNRNPF,-0.466,0.241
699,THOP1,1.099,0.043
700,CAPZA1,0.675,0.052
701,BLVRA,2.055,0.1
702,SLC25A1,1.619,0.02
703,ACLY,1.182,0.008
704,COPB1,1.062,0.031
705,SUB1,-0.196,0.466
706,RARS,0.105,0.692
707,YARS,0.737,0.136
708,BCAT1,-0.841,0.323
709,ALDH18A1,1.252,0.007
710,EIF5,1.074,0.047
711,PSMD4,0.992,0.054
712,CSE1L,0.797,0.038
713,VCP,0.366,0.181
714,HADHB,0.584,0.101
715,ADK,0.711,0.029
716,ADAR,1.906,0.001
717,SEC13,0.101,0.786
718,HNRNPH2,-0.141,0.6
719,OXCT1,2.108,0.002
720,EIF3B,1.237,0.012
721,MARS,0.505,0.22
722,ATP5I,-0.204,0.418
723,EIF6,-0.497,0.264
724,CTBP2,0.695,0.088
725,ARPC4,3.024,0.008
726,SEC61G,-1.335,0.004
727,TPI1,-0.803,0.022
728,EIF3E,0.814,0.023
729,ACTB,0.79,0.034
