,Gene Name,log2(Fold change),P-value
320,RPS17,0.367,0.02
321,COX5A,-0.078,0.441
322,HEXA,-0.858,0.001
323,FUS,0.241,0.212
324,USP10;DKFZp686E14181,-0.261,0.093
325,PDIA3,-0.19,0.128
326,PPP1R7,0.196,0.436
327,TRIM4,0.434,0.036
328,EBNA1BP2,0.056,0.668
329,SRRT,0.259,0.256
330,NSF,0.584,0.29
331,EIF5A;EIF5A2;EIF5AL1,-0.262,0.052
332,RPS15A,0.433,0.01
333,SRSF2,-0.167,0.151
334,OLA1,0.212,0.087
335,PTRH2,0.262,0.226
336,SUMF2,-0.735,0.009
337,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.294,0.03
338,IARS,0.024,0.82
339,CBX1,-0.602,0.002
340,ZNF207,0.033,0.905
341,HN1,0.152,0.173
342,DDX5,-0.148,0.271
343,RPL19,0.024,0.809
344,SRSF1,0.12,0.36
345,CHERP,1.119,0.092
346,SNRPB;SNRPN,-0.248,0.049
347,MRPS23,0.092,0.419
348,PNPO,-0.728,0.001
349,MYL12B;MYL12A,0.336,0.043
350,BUB3,-0.231,0.085
351,UNC13D,-0.18,0.197
352,LONP1,-0.589,0.015
353,RPS15,0.033,0.739
354,PRKCSH,-0.388,0.032
355,SEH1L,-0.014,0.936
356,EIF1;EIF1B,0.016,0.906
357,NCLN,-1.852,0.041
358,PIN1,-0.302,0.209
359,U2AF2,0.521,0.037
360,RNMT,-0.068,0.846
361,TBCB,-0.217,0.193
362,DNAJC7,-0.195,0.121
363,PDCD5,-0.19,0.363
364,EIF3K,0.328,0.027
365,COPE,0.11,0.301
366,ETHE1,-0.036,0.859
367,FBL,0.258,0.065
368,SLC1A5,-0.437,0.04
369,EXOSC5,-0.112,0.331
370,RPS5,0.484,0.007
371,NAPA,-0.351,0.03
372,RPL18A,0.332,0.023
373,AGPS,-0.255,0.246
374,DDX39A,0.558,0.004
375,ACOT7,0.058,0.609
376,AIP,-0.038,0.859
377,PSMD11,0.068,0.513
378,PSMD12,-0.653,0.228
379,PGRMC1,-0.353,0.057
380,SUPT5H,0.293,0.075
381,DFFA,0.204,0.174
382,CLIC1,0.104,0.33
383,EIF3F,0.469,0.006
384,IPO5,0.348,0.017
385,SAP18,-0.219,0.153
386,DNM1L,0.147,0.309
387,PSMD14,0.112,0.468
388,KPNA3,-0.15,0.211
389,PODXL,-0.258,0.311
390,PPP6C,-0.061,0.647
391,PDXK,-0.198,0.354
392,PRMT5,0.53,0.014
393,SLC9A3R1,-0.512,0.006
394,TCERG1,-0.896,0.011
395,PSMA7,-0.096,0.4
396,GIPC1,-1.269,0.012
397,HAT1,-0.082,0.558
398,PPP1R12A,-0.501,0.018
399,XPO1,-0.19,0.139
400,PFAS,0.132,0.256
401,ARPC1B,-0.154,0.177
402,ARPC3,-0.062,0.751
403,PFDN6,0.051,0.697
404,PMM2,-0.127,0.232
405,PPM1G,-0.106,0.492
406,EIF3D,0.354,0.04
407,MAGEB2,0.124,0.296
408,ARPC5,-0.03,0.812
409,DHX15,0.275,0.039
410,PRPF4,-1.982,0.0
411,PSMD3,0.068,0.495
412,SART1,-0.057,0.598
413,HNRNPR,-0.047,0.722
414,TXNL1,-0.037,0.759
415,TPD52L2,0.087,0.521
416,PPIH,-0.084,0.445
417,AKR7A2,-0.703,0.002
418,EPB41L2,0.417,0.015
419,PLRG1,0.213,0.246
420,ASNA1,-0.578,0.003
421,ACTN4,-0.07,0.488
422,SGTA,-0.279,0.123
423,NARS,0.037,0.829
424,NUDT21,-0.307,0.049
425,RRP9,-0.057,0.634
426,CALU,-0.529,0.146
427,AHCYL1;AHCYL2,-0.836,0.001
428,RAD21,-0.731,0.002
429,TIMM8A,-0.002,0.994
430,SPAG9,-0.283,0.072
431,SYNCRIP,0.155,0.165
432,PLOD3,-0.08,0.49
433,PLIN3,-0.09,0.429
434,KPNA6;KPNA1,-0.099,0.534
435,UGDH,0.042,0.788
436,SNX2,-0.595,0.009
437,USO1,0.114,0.716
438,CCDC22,0.311,0.038
439,PQBP1,0.355,0.025
440,EDF1,-0.567,0.003
441,DNAJA2,0.018,0.87
442,CUTA,-0.167,0.402
443,WDR1,0.303,0.044
444,CPNE3,-0.208,0.086
445,NDUFS2,-0.076,0.641
446,PDCD6,0.064,0.674
447,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.259,0.046
448,H2AFY,-0.257,0.045
449,FLNB,0.752,0.002
450,SEC22B,-0.114,0.375
451,VPS26A,0.247,0.219
452,PMPCB,-0.309,0.061
453,SRSF10;FUSIP1,0.227,0.096
454,BANF1,-0.526,0.007
455,CSDE1,-0.521,0.003
456,NPM3,0.127,0.514
457,SNRNP200,-0.109,0.32
458,EIF3J,-0.12,0.375
459,IDH1,-0.461,0.096
460,BCAS2,-0.244,0.079
461,DNAJC8,0.035,0.868
462,ATP5H,-0.226,0.075
463,ATP5L,-0.008,0.953
464,GLRX3,-0.009,0.937
465,RSL1D1,0.1,0.408
466,CIAO1,-0.313,0.052
467,SRP72,-0.624,0.028
468,MTA2,-0.268,0.131
469,TOMM70A,0.391,0.029
470,GLS,0.152,0.574
471,VAPB,-0.141,0.41
472,PAPSS2,0.143,0.197
473,SMC2,-0.616,0.298
474,LYPLA2,-0.053,0.833
475,IPO7,0.293,0.15
476,AHSA1,-0.167,0.271
477,AP2A1;AP2A2,0.188,0.223
478,BAG2,0.112,0.443
479,BAG3,-0.251,0.082
480,BPNT1,-0.227,0.25
481,TXNDC12,-0.189,0.389
482,NDUFB10,-0.547,0.016
483,ACTL6A,-0.456,0.097
484,LDHA,0.063,0.566
485,GLUD1;GLUD2,-0.238,0.072
486,CYB5R3,-0.24,0.177
487,GSR,0.327,0.025
488,SOD1,-0.319,0.11
489,PNP,0.864,0.006
490,HPRT1,-0.053,0.825
491,GOT2,-0.025,0.81
492,PGK1,-0.172,0.13
493,NRAS,-0.616,0.135
494,LMNA,-0.342,0.025
495,TFRC,0.406,0.073
496,CAT,-0.706,0.032
497,GBA,-1.144,0.001
498,ALDOA,-0.41,0.01
499,ANXA1,-0.239,0.088
500,SOD2,-1.605,0.001
501,OAT,0.225,0.097
502,TK1,-0.582,0.029
503,TUBB4A,0.314,0.023
504,GAPDH,-0.041,0.681
505,HSPB1,-0.173,0.403
506,TYMS,-0.731,0.002
507,RPN1,-0.237,0.06
508,RPN2,0.062,0.66
509,GNAI2,-0.271,0.049
510,ATP1A1,-0.375,0.012
511,ATP1B1,0.252,0.32
512,ALDH2,-0.395,0.039
513,SLC25A5,-0.086,0.405
514,EIF2S1,-0.019,0.887
515,RPLP1,0.275,0.049
516,RPLP2,0.394,0.022
517,RPLP0;RPLP0P6,0.353,0.018
518,SSB,-0.097,0.556
519,ITGB1,-0.055,0.581
520,KRT18,0.323,0.041
521,UROD,-0.522,0.003
522,CDK1;CDC2,-0.288,0.032
523,ATP5B,-0.222,0.108
524,ENO1,-0.09,0.4
525,PYGL,0.131,0.289
526,GPI,-0.14,0.242
527,NPM1,0.026,0.856
528,LDHB,-0.044,0.661
529,P4HB,-0.325,0.027
530,ANXA2;ANXA2P2,-0.086,0.511
531,CAPN1,-0.077,0.64
532,TUBB,-0.079,0.433
533,PFN1,-0.309,0.024
534,APRT,-0.384,0.112
535,EPRS,-0.181,0.127
536,CTSB,-1.781,0.0
537,HSP90AA1,0.173,0.258
538,UQCRH;UQCRHL,-0.159,0.168
539,FH,-0.179,0.24
540,ANXA6,0.241,0.137
541,RHOC;RHOA,0.214,0.195
542,HSP90AB1,0.147,0.183
543,ASNS,-0.98,0.004
544,PDHA1,-0.109,0.533
545,CYC1,0.15,0.253
546,MYL3;MYL1,0.031,0.868
547,SNRNP70,-0.633,0.017
548,VIM,0.272,0.05
549,ANXA5,-0.085,0.423
550,ENO2,-0.624,0.008
551,GSTP1,-0.215,0.215
552,SNRPC,-0.042,0.816
553,LGALS1,0.06,0.64
554,QDPR,0.123,0.271
555,HMGB1,-0.287,0.032
556,CLTA,-0.035,0.744
557,ANXA4,-0.379,0.102
558,DLD,-0.09,0.399
559,SNRPA1,0.1,0.492
560,PARP1,-0.368,0.027
561,LTA4H,-0.043,0.688
562,H2AFV;H2AFZ,-0.406,0.036
563,UQCRFS1;UQCRFS1P1,-0.264,0.252
564,U2AF1;U2AF1L4,-0.202,0.107
565,CALM2;CALM3;CALM1,-0.061,0.58
566,TUBA3E,-0.136,0.418
