,Gene Name,log2(Fold change),P-value
522,ETFA,-0.19,0.163
523,PRKAR2A,0.212,0.314
524,MTHFD2,0.474,0.031
525,MIF,-0.129,0.333
526,AKR1A1,-0.199,0.392
527,PKM,-0.222,0.152
528,HSP90B1,-0.019,0.896
529,CCNB1,-0.062,0.764
530,COX6B1,0.112,0.686
531,DARS,0.078,0.628
532,UQCRB,-0.638,0.005
533,RPS2,-0.093,0.469
534,H2AFX;HIST1H2AA,0.4,0.089
535,HIST1H1C,0.224,0.282
536,ATP2A2,-0.104,0.504
537,HMGA1,0.717,0.017
538,GOT1,0.11,0.49
539,ITGA2,-1.389,0.021
540,CAPN2,-0.035,0.819
541,PTPN2,-0.13,0.632
542,TCP1,-0.09,0.627
543,RPL35A,-0.016,0.929
544,RPL7,0.243,0.122
545,VCL,0.523,0.356
546,SON,-0.351,0.041
547,PGAM1;PGAM4,0.026,0.847
548,RCC1,0.176,0.222
549,NCL,0.069,0.658
550,HK1,-0.097,0.538
551,EIF2AK2,-0.094,0.727
552,CSNK2A2,-0.43,0.032
553,EIF2S2,0.148,0.522
554,ANXA7,0.033,0.788
555,BTF3,-0.085,0.496
556,RAB6A;RAB6B,0.078,0.709
557,M6PR,0.018,0.88
558,COX5A,-0.124,0.483
559,LMNB1,-0.177,0.239
560,ATP6V1B2,-0.191,0.16
561,ATP6V1C1,-0.097,0.637
562,VDAC1,0.177,0.204
563,SDHB,-0.037,0.898
564,TGM2,0.346,0.041
565,GART,1.576,0.166
566,PAICS,0.27,0.116
567,SCP2,-0.286,0.076
568,UBA1,-0.236,0.123
569,FDXR,0.144,0.65
570,HNRNPA2B1,0.234,0.133
571,UQCRC2,-0.103,0.635
572,ITGA6,1.537,0.0
573,SFPQ,0.056,0.682
574,TUBG1;TUBG2,-0.328,0.305
575,PPIB,-0.018,0.893
576,ME2,0.86,0.065
577,RPS3,0.045,0.73
578,AHCY,0.3,0.266
579,CFL1,-0.044,0.728
580,EEF1B2,-0.18,0.384
581,ATP5F1,-0.196,0.234
582,ACP1,-0.297,0.281
583,ACAT1,0.045,0.805
584,MCM3,-0.295,0.292
585,RPS12,-0.131,0.421
586,ATP5A1,0.085,0.508
587,PSMA1,0.287,0.144
588,PSMA3,0.036,0.766
589,ITGA3,0.028,0.881
590,MSN,0.004,0.976
591,DDX6,0.108,0.444
592,U2AF2,0.281,0.316
593,RPL13,0.359,0.042
594,HMGB2,0.286,0.063
595,PTBP1,0.116,0.391
596,TARS,2.521,0.186
597,VARS,0.268,0.083
598,EEF1G,0.104,0.415
599,STOM,0.836,0.011
600,YWHAQ,-0.048,0.759
601,RPL10,0.008,0.954
602,RPA1,0.224,0.178
603,APEX1,0.054,0.665
604,CALR,-0.191,0.253
605,CANX,-0.193,0.286
606,PSMA5,-0.467,0.046
607,PSMB4,0.044,0.756
608,PSMB6,0.869,0.338
609,PSMB5,0.604,0.011
610,NDUFS1,0.249,0.204
611,MAPK1,-0.197,0.405
612,LAP3,-0.066,0.715
613,TKT,0.01,0.936
614,ERP29,-0.037,0.795
615,PRDX6,0.084,0.56
616,PRDX5,-0.139,0.414
617,PRDX3,0.153,0.369
618,RPL12,0.411,0.02
619,ECHS1,-0.004,0.985
620,PDIA3,0.005,0.966
621,PPP2R1A,-0.177,0.223
622,PPIF,0.167,0.326
623,NMT1,-0.008,0.952
624,ALDH1B1,-0.103,0.417
625,SDHA,-0.314,0.263
626,MAT2A,-0.368,0.318
627,DNAJA1,0.32,0.17
628,UQCRC1,-0.11,0.674
629,ATIC,0.04,0.753
630,HNRNPH3,-0.028,0.818
631,YWHAB,0.176,0.254
632,SFN,-0.428,0.08
633,STIP1,-0.067,0.629
634,S100A11,-0.023,0.859
635,PRDX2,-0.304,0.063
636,PYCR1,0.172,0.312
637,RPL9,0.093,0.523
638,CD70,-0.983,0.146
639,KIF5B,0.298,0.403
640,MCM5,-0.131,0.646
641,MCM7,-0.365,0.175
642,SHMT2,0.182,0.205
643,HSPA4,0.092,0.471
644,GPC1,-0.312,0.39
645,CTNNA1,0.127,0.598
646,PHB,0.162,0.222
647,RPA3,-0.554,0.036
648,RFC4,-0.563,0.18
649,RFC2,-0.438,0.018
650,RPL22,0.199,0.151
651,SPR,0.058,0.81
652,MYH9,-0.087,0.565
653,MYH10,-0.177,0.362
654,COPB2,-0.359,0.057
655,PSMC2,-0.435,0.018
656,ARL3,-0.284,0.136
657,ATP5C1,-0.119,0.577
658,CPOX,-0.034,0.841
659,RPL4,0.307,0.088
660,DLST,0.029,0.84
661,SRP14,0.133,0.329
662,FDFT1,-0.785,0.027
663,TAGLN2,0.094,0.491
664,TALDO1,0.017,0.93
665,ETFB,0.109,0.631
666,RBMX,-0.268,0.352
667,ATP6V1A,-0.196,0.345
668,HSPA9,-0.084,0.496
669,EIF4A3,-0.106,0.532
670,RPS19,0.048,0.709
671,RPL3,0.061,0.615
672,FEN1,0.019,0.885
673,CCT6A,-0.095,0.467
674,RPL13A;RPL13a,0.268,0.102
675,MDH1,-0.279,0.189
676,MDH2,0.057,0.674
677,RFC5,0.12,0.48
678,RFC3,-1.933,0.006
679,EIF2S3;EIF2S3L,-0.104,0.418
680,NAA10;NAA11,0.574,0.414
681,IARS,0.252,0.096
682,ECI1;DCI,-0.003,0.988
683,TMPO,0.62,0.047
684,SKIV2L2,0.219,0.265
685,RPS27,-0.279,0.197
686,LRPPRC,0.088,0.553
687,ACAA2,-0.221,0.288
688,RPL35,0.2,0.18
689,MSH2,-0.826,0.135
690,GPD2,-0.237,0.132
691,MAGEA4,-0.093,0.537
692,NAMPT,0.359,0.095
693,PSMC4,-0.501,0.068
694,TSFM,0.356,0.221
695,VDAC2,0.172,0.245
696,CBX5,-0.467,0.014
697,USP5,0.531,0.165
698,RANGAP1,-0.26,0.123
699,RECQL,-0.041,0.753
700,NOP2,0.152,0.277
701,RPL27A,0.314,0.055
702,RPL5,0.322,0.075
703,RPL21,0.214,0.155
704,RPS9,0.131,0.503
705,RPS10;RPS10-NUDT3,-0.056,0.718
706,IQGAP1,-0.189,0.209
707,STT3A,0.067,0.579
708,CAPZB,-0.012,0.919
709,EIF1AX;EIF1AY,0.06,0.668
710,QARS,-0.142,0.524
711,ATP5O,0.047,0.742
712,ARCN1,0.016,0.901
713,LSS,-0.368,0.385
714,PSMD8,-0.206,0.449
715,CCT5,-0.171,0.268
716,ALDH9A1,0.965,0.166
717,RPL34,0.124,0.41
718,RPIA,0.294,0.617
719,LMAN1,-0.313,0.125
720,NASP,-0.295,0.073
721,FASN,-0.337,0.098
722,CCT3,-0.042,0.76
723,TUFM,0.07,0.595
724,SRP9;DKFZp564M2223,0.153,0.343
725,AARS,0.186,0.4
726,PSMB3,-0.061,0.759
727,PSMB2,0.066,0.758
728,MCM2,-0.32,0.148
729,ACADVL,-0.153,0.355
730,TMED10,-0.051,0.693
731,NUMB,0.93,0.005
732,RANBP2,0.086,0.511
733,GMPS,0.393,0.157
734,IDH3A,-1.165,0.099
735,GDI2,-0.091,0.479
736,SERPINH1,-0.213,0.168
737,PDLIM4,-0.454,0.061
738,ST13;ST13P5;ST13P4,-0.296,0.18
739,VASP,-0.665,0.045
740,CCT8,-0.441,0.02
741,CCT4,0.161,0.449
742,ANXA11,0.216,0.292
743,RAB5C,-0.331,0.101
744,RAB13,-0.061,0.668
745,DUSP3,-0.383,0.084
746,SSR4,-0.291,0.084
747,BCAP31,-0.25,0.106
748,HNRNPA3,0.168,0.236
749,PGD,0.051,0.684
750,HNRNPM,0.112,0.434
751,KPNA2,-0.354,0.054
752,ARHGDIA,-0.068,0.77
753,HNRNPF,-0.047,0.702
754,MSH6,-0.022,0.891
755,KIF11,-0.883,0.001
756,CAPZA1,0.096,0.563
757,NUP98,-0.232,0.159
758,BLVRA,-0.359,0.093
759,SLC25A1,-0.338,0.088
760,ACLY,0.338,0.203
761,METAP1,-0.019,0.902
762,SUCLG1,-0.171,0.219
763,COPB1,-0.447,0.053
764,SEC24C,-0.234,0.113
765,SUB1,0.162,0.294
766,RARS,0.104,0.486
767,ATP1B3,0.252,0.173
768,ALDH18A1,0.095,0.463
769,PSMD4,0.121,0.437
770,CSE1L,0.111,0.401
771,VCP,-0.037,0.758
772,HADHB,-0.025,0.843
773,ADAR,-0.087,0.546
774,HNRNPH2,0.154,0.317
775,OXCT1,0.078,0.582
776,EIF3B,-0.323,0.054
777,ATP5J2,-0.199,0.295
778,ATP5I,-0.321,0.076
779,EIF6,0.038,0.786
780,CTBP2,-0.114,0.651
781,NUP107,-0.218,0.202
782,ARPC4;ARPC4-TTLL3,0.207,0.294
