,Gene Name,log2(Fold change),P-value
280,HNRNPA1;HNRNPA1L2,-0.074,0.624
281,FAM162A,-0.307,0.07
282,MRE11A,-0.23,0.193
283,IGF2BP2,-2.343,0.0
284,EIF2A,-0.006,0.969
285,NDUFV1,0.169,0.246
286,CAPRIN1,-0.452,0.036
287,DPP3,0.295,0.086
288,API5,-0.327,0.099
289,NRD1,-0.015,0.915
290,GOLT1B,0.005,0.968
291,ATP5J2-PTCD1;ATP5J2,-0.076,0.763
292,SRP54,-0.663,0.004
293,MRPS22,-0.012,0.959
294,MRPS27,0.247,0.147
295,CELF1,-0.411,0.035
296,SEC24C,-0.075,0.546
297,HNRNPH1,-0.269,0.08
298,H0Y858,-1.156,0.001
299,HNRNPD,-0.049,0.697
300,DNPH1,-0.026,0.862
301,RRM2B,-0.859,0.094
302,IMPA1,0.076,0.752
303,TPD52,0.395,0.058
304,PPP5C,-1.854,0.011
305,HADHA,-0.03,0.819
306,REXO2,0.133,0.42
307,TMOD3,0.098,0.669
308,PSMA4,-0.013,0.918
309,ANP32A,0.123,0.457
310,DUT,-0.171,0.412
311,AKR7A2,-0.313,0.058
312,RNPS1,-0.406,0.033
313,H3BN98,-0.409,0.19
314,RPS17,0.115,0.435
315,THUMPD1,-0.206,0.398
316,HEXA,-0.208,0.15
317,CYB5B,-0.087,0.585
318,DHX30,-0.122,0.345
319,PDIA3,-0.119,0.439
320,PPP1R7,0.363,0.161
321,C7orf50,-2.244,0.0
322,EBNA1BP2,-0.01,0.963
323,NSF,-0.272,0.108
324,SLC25A11,0.103,0.506
325,EIF5A;EIF5AL1,0.136,0.354
326,NOMO2;NOMO3;NOMO1,-0.596,0.215
327,SRSF2,-0.172,0.212
328,OLA1,0.328,0.037
329,PTRH2,-0.144,0.281
330,SUMF2,-0.292,0.104
331,APOL2,-0.4,0.314
332,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.321,0.04
333,TBCD,-0.24,0.125
334,CBX1,-0.095,0.674
335,DCXR,-0.031,0.801
336,NUP85,-0.928,0.005
337,HN1,0.072,0.685
338,DDX5,-0.49,0.016
339,RPL19,0.008,0.964
340,SRSF1,-0.184,0.199
341,SNRPB;SNRPN,-0.144,0.279
342,MRPS23,-0.02,0.881
343,RPL18,0.578,0.005
344,MYL12B;MYL12A;MYL9,0.238,0.149
345,ZNF207,0.032,0.932
346,YES1;SRC,-0.443,0.017
