,Gene Name,log2(Fold change),P-value
246,H3BN98,-0.02,0.925
247,RPS17,0.019,0.884
248,HEXA,-0.549,0.015
249,MACF1,1.375,0.135
250,FUS,-0.016,0.932
251,NDUFB10,-0.179,0.301
252,NOB1,-1.731,0.007
253,DHX30,0.043,0.817
254,PDIA3,-0.088,0.536
255,EBNA1BP2,0.219,0.145
256,SRRT,-0.028,0.882
257,SRPRB,0.554,0.1
258,NSF,-0.635,0.042
259,SLC25A11,-0.393,0.053
260,EIF5A;EIF5A2;EIF5AL1,-0.001,0.992
261,C1QBP,0.049,0.699
262,PSMD13,0.004,0.989
263,SRSF2,-0.094,0.52
264,PTRH2,0.012,0.937
265,SUMF2,-0.171,0.264
266,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.134,0.318
267,IARS,0.259,0.151
268,CBX1,0.531,0.462
269,DCXR,0.145,0.32
270,ZNF207,-0.055,0.812
271,MRPS7,-0.025,0.86
272,NUP85,-0.637,0.059
273,DDX5,-0.424,0.122
274,RPL19,0.068,0.609
275,SRSF1,-0.252,0.105
276,CHERP,0.568,0.056
277,SNRPB;SNRPN,-0.175,0.222
278,MRPS23,-0.015,0.958
279,RPL18,0.342,0.047
280,MYL12B;MYL12A;MYL9,0.169,0.289
281,YES1,-0.667,0.016
282,BUB3,-0.174,0.263
283,UNC13D,-0.16,0.557
284,DNAJC7,-0.317,0.284
285,LONP1,-0.24,0.229
286,PRKCSH,0.272,0.171
287,SEH1L,0.045,0.783
288,PARK7,-0.025,0.866
289,EIF1,0.245,0.154
290,NCLN,-0.714,0.166
291,COASY,0.189,0.18
292,TMED1,0.058,0.828
293,PDCD5,1.095,0.071
294,EIF3K,0.189,0.244
295,COPE,0.016,0.944
296,ETHE1,-0.144,0.487
297,SLC1A5,0.392,0.237
298,HNRNPL,-0.143,0.283
299,EXOSC5,0.191,0.211
300,RPS5,0.315,0.14
301,AGPS,-0.123,0.511
302,DDX39A,0.019,0.913
303,PSMD11,0.734,0.225
304,PGRMC1,-0.276,0.123
305,CLIC1,0.489,0.177
306,EIF3F,0.042,0.745
307,IPO5,0.142,0.304
308,SAP18,1.355,0.019
309,DNM1L,-0.039,0.824
310,PSMD14,0.102,0.643
311,PODXL,-0.484,0.126
312,PDXK,-0.159,0.626
313,PRMT5,1.273,0.046
314,SLC9A3R1,0.158,0.447
315,TCERG1,-0.84,0.016
316,PSMA7,-0.157,0.375
317,SCAMP3,-0.521,0.045
318,UQCRQ,0.092,0.729
319,HGS,0.682,0.427
320,XPO1,0.019,0.939
321,ARPC1B,-0.351,0.103
322,ARPC3,-0.136,0.512
323,PGRMC2,-0.215,0.26
324,SURF4,0.241,0.494
325,PPM1G,0.032,0.868
326,EIF3D,0.35,0.083
327,MAGEB2,-0.136,0.315
328,DHX15,-0.177,0.369
329,PRPF4,-1.649,0.007
330,PSMD3,0.107,0.444
331,ZW10,-0.455,0.495
332,SART1,-0.059,0.641
333,HNRNPR,-0.184,0.241
334,EPB41L2,0.338,0.041
335,XPOT,-0.035,0.979
336,TIMM44,0.448,0.068
337,PLRG1,-0.067,0.779
338,NDUFA2,0.281,0.134
339,ASNA1,-0.443,0.046
340,ACTN4,-0.084,0.536
341,NARS,0.2,0.283
342,NUDT21,-0.585,0.008
343,RRP9,0.076,0.788
344,CALU,0.073,0.851
345,RAD21,-0.123,0.42
346,TIMM8A,0.166,0.615
347,SMARCA5,-0.297,0.2
348,AQR,-2.095,0.202
349,KDM1A,-0.52,0.041
350,PLOD3,0.244,0.273
351,PLIN3,-0.048,0.727
352,KPNA6,0.337,0.116
353,UGDH,-0.135,0.451
354,SNX2,-0.518,0.019
355,DKC1,0.056,0.708
356,EDF1,-0.275,0.083
357,CUTA,0.054,0.801
358,WDR1,0.07,0.606
359,CPNE3,-0.051,0.711
360,NDUFS2,0.318,0.063
361,PDCD6,0.011,0.943
362,H2AFY,-0.339,0.05
363,FLNB,0.618,0.019
364,SEC22B,0.041,0.763
365,PMPCB,0.15,0.403
366,SRSF10,0.177,0.264
367,BANF1,-0.394,0.027
368,SF3B1,0.057,0.743
369,CSDE1,-0.072,0.655
370,PRKRA,-0.058,0.717
371,NPM3,0.459,0.067
372,SNRNP200,-0.091,0.617
373,BCAS2,-0.038,0.891
374,ATP5H,-0.006,0.964
375,ATP5L,0.036,0.82
376,RSL1D1,0.077,0.596
377,SRP72,-0.388,0.308
378,MTA2,-0.354,0.124
379,TOMM70A,0.164,0.331
380,GLS,-0.3,0.313
381,ZFPL1,-0.575,0.014
382,IPO7,0.208,0.328
383,AP2A1,0.064,0.694
384,BAG2,0.534,0.029
385,TXNDC12,-0.042,0.841
386,ACTL6A,-0.798,0.037
387,CYB5A,-0.02,0.939
388,LDHA,0.031,0.818
389,GLUD1;GLUD2,0.009,0.944
390,CYB5R3,-0.182,0.326
391,MT-CO2,0.279,0.422
392,SOD1,-0.194,0.355
393,PNP,0.354,0.179
394,GOT2,-0.016,0.898
395,PGK1,0.023,0.874
396,NRAS,-0.38,0.091
397,LMNA,-0.384,0.041
398,TFRC,0.275,0.224
399,CAT,-0.427,0.08
400,ALDOA,-0.366,0.052
401,ANXA1,-0.07,0.687
402,SOD2,-0.269,0.161
403,OAT,0.149,0.339
404,TUBB4A,-0.136,0.315
405,GAPDH,-0.203,0.169
406,HSPB1,-0.137,0.508
407,TYMS,-0.404,0.121
408,RPN1,-0.252,0.097
409,RPN2,0.008,0.952
410,GNAI2,-0.456,0.019
411,HIST1H2AC;HIST3H2A;HIST1H2AB,-0.034,0.841
412,ATP1A1,-0.151,0.329
413,ATP1B1,0.235,0.36
414,ALDH2,0.124,0.34
415,SLC25A5,-0.271,0.102
416,EIF2S1,-0.148,0.453
417,RPLP1,-0.012,0.923
418,RPLP2,-0.015,0.931
419,RPLP0;RPLP0P6,0.049,0.723
420,SSB,-0.069,0.633
421,ITGB1,0.186,0.199
422,KRT18,-0.614,0.107
423,CDK1;CDC2,0.1,0.545
424,ATP5B,-0.161,0.268
425,ENO1,-0.156,0.275
426,GPI,0.635,0.196
427,NPM1,0.201,0.264
428,LDHB,-0.023,0.85
429,P4HB,-0.188,0.202
430,ANXA2;ANXA2P2,-0.342,0.089
431,TUBB,0.025,0.852
432,PSAP,-0.875,0.127
433,PFN1,-0.207,0.195
434,APRT,0.464,0.133
435,EPRS,0.628,0.068
436,CTSB,-1.493,0.002
437,HSP90AA1,0.043,0.805
438,UQCRH,-0.046,0.717
439,FH,-0.08,0.613
440,ANXA6,-0.015,0.936
441,RHOC,0.99,0.16
442,HSP90AB1,0.028,0.831
443,PDHA1,0.032,0.794
444,CYC1,-0.195,0.258
445,MFI2,-0.302,0.12
446,MYL3;MYL1,-0.063,0.743
447,SNRNP70,-0.472,0.067
448,VIM,0.057,0.683
449,ANXA5,-0.051,0.786
450,SNRPA,-0.166,0.361
451,GSTP1,-0.061,0.736
452,SNRPC,-0.158,0.451
453,LGALS1,-0.141,0.489
454,HMGB1,-0.153,0.278
455,CLTA,-0.254,0.096
456,ANXA4,0.051,0.828
457,DLD,-0.179,0.213
458,SNRPA1,-0.228,0.224
459,COX6C,1.895,0.0
460,PARP1,-0.099,0.449
461,H2AFV;H2AFZ,-0.419,0.071
462,UQCRFS1;UQCRFS1P1,-0.46,0.098
463,U2AF1,-0.159,0.337
464,CALM2;CALM3;CALM1,-0.415,0.105
465,GAA,-0.751,0.015
466,HIST1H1E;HIST1H1D,-0.783,0.019
467,HSPD1,0.32,0.066
468,HSPA5,0.229,0.134
469,HSPA8,0.075,0.65
470,PDHB,0.2,0.393
471,RALA;RALB,-0.302,0.103
472,LAMP1,-0.651,0.009
473,TOP2A,0.441,0.215
474,G6PD,-0.425,0.12
475,PABPC1,-0.182,0.263
476,PCNA,-0.113,0.587
477,HARS,0.338,0.147
478,SLC25A4,-0.027,0.908
479,SLC25A6,-0.175,0.275
480,TPR,0.156,0.281
481,CKMT1A;CKMT1B,0.125,0.435
482,ACTN1,-0.009,0.955
483,XRCC6,-0.098,0.448
484,XRCC5,-0.088,0.674
485,COX4I1,0.604,0.055
486,RNH1,1.461,0.282
487,EEF2,0.165,0.245
488,PDIA4,-0.071,0.736
489,ETFA,1.995,0.094
490,PRKAR2A,0.655,0.023
491,MTHFD2,0.628,0.017
492,MIF,-0.318,0.066
493,AKR1A1,-0.144,0.471
494,PKM,-0.335,0.06
495,HSP90B1,0.116,0.388
496,COX6B1,0.759,0.008
497,DARS,-0.148,0.303
498,AKR1B1,1.393,0.306
499,EZR,-0.252,0.178
500,RPS2,-0.109,0.409
501,CD44,0.035,0.88
502,HIST1H1C,-0.486,0.096
503,ATP2A2,0.256,0.476
504,STMN1,-0.131,0.474
505,HSPA6;HSPA7,0.438,0.125
506,HMGA1,0.525,0.064
507,GOT1,0.425,0.048
508,TCP1,0.115,0.376
509,PTPN1,0.189,0.309
510,RPL35A,-0.024,0.901
511,RPL7,0.102,0.476
512,VCL,0.659,0.087
513,SON,-0.261,0.25
514,PGAM1;PGAM4,0.174,0.233
515,RCC1,0.355,0.047
516,NCL,0.243,0.209
517,HK1,0.008,0.958
518,CSNK2A2,0.396,0.188
519,EIF2S2,0.641,0.016
520,ANXA7,0.147,0.396
521,BTF3,-0.261,0.085
522,RAB6A;RAB6B,0.011,0.949
523,PSMB1,0.55,0.198
524,M6PR,-0.067,0.595
525,COX5A,-0.071,0.631
526,LMNB1,-0.375,0.039
527,ACO1,1.508,0.173
528,VDAC1,0.098,0.476
529,SDHB,0.066,0.804
530,FBL,0.092,0.536
531,GART,0.178,0.256
532,PAICS,0.125,0.362
533,SCP2,-0.015,0.902
534,UBA1,0.305,0.493
535,FDXR,-0.01,0.976
536,HNRNPA2B1,-0.065,0.638
537,UQCRC2,0.076,0.656
538,ITGA6,1.195,0.019
539,SFPQ,0.169,0.275
540,TUBG1;TUBG2,0.297,0.505
541,PPIB,0.014,0.911
542,RPS3,0.225,0.197
543,AHCY,0.729,0.183
544,CFL1,-0.287,0.139
545,DTYMK,-0.348,0.04
546,EEF1B2,-0.015,0.941
547,ATP5F1,-0.312,0.059
548,ACAT1,0.041,0.862
549,POLR2A,6.312,0.0
550,MCM3,-0.615,0.014
551,RPS12,-0.053,0.761
552,DNAJB1,1.536,0.029
553,ATP5A1,-0.039,0.785
554,PSMA1,-0.072,0.676
555,PSMA3,-0.063,0.629
556,ITGA3,-0.065,0.7
557,MSN,0.046,0.725
558,DDX6,0.392,0.091
559,U2AF2,0.041,0.829
560,RPL13,0.288,0.073
561,HMGB2,-0.268,0.212
562,PTBP1,0.038,0.775
563,TARS,1.998,0.174
564,VARS,0.266,0.095
565,EEF1G,0.156,0.264
566,AK4,0.58,0.028
567,YWHAQ,-0.131,0.322
568,RPL10,0.148,0.35
569,APEX1,-0.009,0.945
570,CALR,-0.279,0.176
571,CANX,-0.26,0.254
572,PSMA5,-0.35,0.138
573,PSMB4,0.272,0.368
574,PSMB6,2.173,0.029
575,PSMB5,0.158,0.339
576,NDUFS1,0.071,0.623
577,LAP3,-0.153,0.429
578,TKT,0.54,0.294
579,ERP29,-0.29,0.102
580,PRDX6,0.17,0.277
581,PRDX5,-0.281,0.189
582,PRDX3,0.077,0.614
583,ATP5D,-0.238,0.584
584,RPL12,0.302,0.066
585,ECHS1,0.017,0.942
586,PDIA3,-0.07,0.598
587,PPP2R1A,0.198,0.428
588,PPIF,0.261,0.204
589,NMT1,0.125,0.393
590,ALDH1B1,0.068,0.711
591,SDHA,-0.141,0.311
592,MAT2A,0.641,0.454
593,DNAJA1,0.326,0.276
594,UQCRC1,0.285,0.108
595,ATIC,0.022,0.897
596,HNRNPH3,-0.144,0.393
597,YWHAB,0.187,0.428
598,SFN,-0.14,0.439
599,STIP1,0.0,0.997
600,S100A11,-0.014,0.908
601,PRDX2,-0.411,0.028
602,PYCR1,0.234,0.28
603,RPL9,0.08,0.583
604,CD70,-1.167,0.112
605,KIF5B,0.265,0.475
606,CSTF2;CSTF2T,-0.333,0.047
607,MCM5,-0.502,0.132
608,MCM7,-0.77,0.057
609,SHMT2,0.293,0.067
610,HSPA4,0.239,0.106
611,GPC1,0.113,0.625
612,PHB,0.112,0.392
613,RFC2,-0.228,0.121
614,RPL22,0.121,0.437
615,SPR,-0.734,0.006
616,MYH9,-0.036,0.797
617,COPB2,0.103,0.577
618,PSMC2,-0.338,0.042
619,ATP5C1,-0.25,0.342
620,CPOX,-0.143,0.488
621,RPL4,0.208,0.234
622,DLST,-0.124,0.426
623,SRP14,-0.081,0.535
624,TAGLN2,-0.029,0.853
625,TALDO1,1.83,0.289
626,ETFB,0.029,0.924
627,RBMX;RBMXL1,-0.191,0.506
