,Gene Name,log2(Fold change),P-value
510,TFRC,0.817,0.01
511,CAT,-0.357,0.225
512,ALDOA,-0.319,0.017
513,ANXA1,-0.043,0.719
514,SOD2,-1.438,0.0
515,OAT,0.395,0.015
516,TK1,0.075,0.727
517,VWF,-0.102,0.783
518,TUBB4A,0.104,0.354
519,GAPDH,0.016,0.86
520,HSPB1,-0.086,0.678
521,TYMS,-0.314,0.043
522,RPN1,-0.201,0.09
523,RPN2,-0.068,0.466
524,GNAI2,-0.28,0.098
525,HIST1H2AC;HIST3H2A;HIST1H2AB,-0.387,0.011
526,ATP1A1,-0.089,0.542
527,ATP1B1,0.872,0.017
528,ALDH2,-0.184,0.117
529,SLC25A5,-0.034,0.695
530,ISG15,-1.687,0.001
531,EIF2S1,-0.085,0.521
532,RPLP1,0.183,0.089
533,RPLP2,0.289,0.042
534,RPLP0,0.288,0.028
535,SSB,0.084,0.622
536,ITGB1,-0.028,0.754
537,KRT18,0.09,0.467
538,MYL3;MYL1,-0.145,0.357
539,UROD,-0.468,0.005
540,CDK1;CDC2,-0.114,0.27
541,ATP5B,-0.068,0.523
542,ENO1,0.012,0.893
543,GPI,0.032,0.714
544,NPM1,0.105,0.476
545,LDHB,-0.043,0.626
546,P4HB,-0.32,0.021
547,ANXA2;ANXA2P2,0.008,0.948
548,CAPN1,-0.584,0.037
549,TUBB,-0.029,0.732
550,PSAP,-0.931,0.122
551,PFN1,-0.202,0.075
552,APRT,-0.271,0.209
553,EPRS,0.005,0.966
554,CTSB,-2.058,0.0
555,HSP90AA1,0.491,0.017
556,UQCRH;UQCRHL,0.182,0.109
557,FH,-0.037,0.771
558,ANXA6,0.029,0.86
559,HSP90AB1,0.227,0.054
560,ASNS,-0.674,0.016
561,PDHA1,0.118,0.385
562,CYC1,0.093,0.337
563,SNRNP70,-0.561,0.08
564,VIM,0.327,0.026
565,ANXA5,-0.272,0.034
566,ENO2,-0.474,0.016
567,GSTP1,-0.051,0.757
568,SNRPC,-0.323,0.147
569,LGALS1,-0.042,0.772
570,QDPR,-0.284,0.026
571,HMGB1,-0.17,0.11
572,CLTA,-0.325,0.02
573,ANXA4,-0.603,0.035
574,DLD,-0.055,0.549
575,SNRPA1,-0.068,0.668
576,PARP1,-0.284,0.195
577,LTA4H,0.127,0.192
578,ALDOC,0.031,0.833
579,H2AFV;H2AFZ,-0.27,0.114
580,U2AF1,-0.11,0.302
581,CALM2;CALM3;CALM1,0.042,0.682
582,TUBA3E,0.051,0.754
583,GAA,-1.154,0.002
584,HIST1H1E;HIST1H1D,-0.454,0.02
585,TXN,0.035,0.809
586,COX5B,-0.294,0.236
587,CTSA,-0.142,0.828
588,PRKAR1A,-1.227,0.192
589,ESD,0.147,0.387
590,HSPD1,0.504,0.006
591,HSPA5,0.22,0.053
592,HSPA8,0.488,0.011
593,UMPS,0.784,0.073
594,PDHB,-0.078,0.567
595,RALB;RALA,-0.204,0.085
596,LAMP1,-0.293,0.046
597,TOP2A,0.535,0.007
598,G6PD,-0.375,0.134
599,ADH5,-0.095,0.46
600,PRPS2,-0.296,0.023
