,Gene Name,log2(Fold change),P-value
534,ETFA,-0.272,0.126
535,PRKAR2A,0.873,0.064
536,MTHFD2,0.243,0.187
537,MIF,-0.339,0.066
538,AKR1A1,-0.253,0.472
539,PKM,-0.25,0.122
540,HSP90B1,0.021,0.887
541,CCNB1,0.139,0.498
542,COX6B1,-0.086,0.679
543,HNRNPL,-0.188,0.208
544,DARS,-0.12,0.419
545,UQCRB,-0.514,0.024
546,EZR,0.053,0.741
547,RPS2,0.121,0.385
548,COX7C,-0.83,0.285
549,H2AFX;HIST1H2AA,0.039,0.866
550,HIST1H1C,-0.258,0.388
551,ATP2A2,-0.037,0.813
552,HSPA6;HSPA7,0.449,0.017
553,HMGA1,0.654,0.025
554,GOT1,0.419,0.171
555,ITGA2,-0.958,0.043
556,CAPN2,0.137,0.502
557,TCP1,0.207,0.257
558,PTPN1,-0.238,0.15
559,RPL35A,0.499,0.063
560,RPL7,0.554,0.018
561,VCL,0.49,0.164
562,SON,-0.459,0.022
563,PGAM1;PGAM4,-0.042,0.767
564,RCC1,0.229,0.148
565,NCL,0.139,0.397
566,HK1,-0.085,0.603
567,EIF2AK2,-0.184,0.483
568,CSNK2A2,-0.075,0.728
569,ANXA7,0.036,0.841
570,BTF3,0.276,0.081
571,RAB6A;RAB6B,-0.023,0.872
572,PSMB1,0.019,0.907
573,M6PR,-0.044,0.785
574,COX5A,-0.298,0.069
575,LMNB1,-0.342,0.071
576,ATP6V1B2,-0.243,0.147
577,ATP6V1C1,-0.1,0.491
578,VDAC1,0.162,0.262
579,SDHB,-0.228,0.385
580,TGM2,0.339,0.068
581,FBL,0.403,0.042
582,PAICS,0.146,0.404
583,SCP2,-0.486,0.013
584,UBA1,-0.324,0.065
585,FDXR,0.078,0.792
586,HNRNPA2B1,0.044,0.758
587,UQCRC2,0.095,0.635
588,ITGA6,1.972,0.0
589,SFPQ,0.05,0.722
590,PPIB,0.08,0.552
591,ME2,-0.0,0.997
592,WARS,0.284,0.125
593,RPS3,0.275,0.105
594,AHCY,-0.09,0.612
595,CFL1,-0.21,0.176
596,DTYMK,-0.913,0.001
597,EEF1B2,0.109,0.576
598,ATP5F1,-0.292,0.073
599,ACAT1,-0.019,0.91
600,MCM3,-0.59,0.023
601,RPS12,0.103,0.537
602,ATP5A1,0.057,0.682
603,PSMA1,0.401,0.027
604,PSMA3,-0.091,0.587
605,ITGA3,0.345,0.11
606,MSN,0.155,0.289
607,DDX6,0.074,0.611
608,U2AF2,0.351,0.095
609,RPL13,0.87,0.005
610,HMGB2,-0.423,0.056
611,PTBP1,0.193,0.205
612,TARS,0.161,0.318
613,VARS,0.772,0.003
614,EEF1G,0.382,0.029
615,STOM,0.918,0.003
616,AK4,0.217,0.232
617,YWHAQ,-0.021,0.873
618,RPL10,0.593,0.009
619,RPA1,-0.345,0.088
620,CALR,-0.354,0.059
621,CANX,-0.011,0.933
622,PSMA5,-0.171,0.383
623,PSMB4,0.254,0.2
624,PSMB6,1.433,0.025
625,PSMB5,0.864,0.063
626,NDUFS1,0.392,0.04
627,LAP3,0.017,0.924
628,TKT,-0.184,0.35
629,ERP29,-0.398,0.051
630,PRDX6,0.069,0.689
631,BLVRB,-0.546,0.026
632,PRDX5,-0.682,0.014
633,PRDX3,0.028,0.851
634,ATP5D,-0.252,0.228
635,RPL12,0.851,0.007
636,ECHS1,-0.11,0.619
637,PDIA3,-0.188,0.275
