,Gene Name,log2(Fold change),P-value
261,HNRNPH1,0.034,0.762
262,SMC4,-0.092,0.412
263,MYO1B,-0.449,0.005
264,SUCLG2,-0.672,0.001
265,MRPS17;hCG_1984214,0.022,0.805
266,FUBP1,0.069,0.482
267,DLAT,-0.065,0.633
268,GSTK1,-0.509,0.022
269,TSN,-0.305,0.019
270,COPS8,-0.084,0.448
271,NCAPH,-0.218,0.327
272,GSDMD,-0.469,0.034
273,UBXN1,-0.097,0.563
274,EEF1D,0.663,0.002
275,PRMT1,0.036,0.699
276,NDUFS8,0.261,0.494
277,MRPL17,-0.203,0.243
278,CLNS1A,-0.093,0.449
279,ANP32E,0.584,0.167
280,RAE1,-0.022,0.895
281,FAU,0.125,0.244
282,LSM8,-0.044,0.815
283,PGAM5,0.328,0.087
284,OTUB1,-0.295,0.037
285,SLC3A2,0.186,0.084
286,GPHN,-0.316,0.504
287,CPSF7,-0.781,0.004
288,DNAJA4,0.195,0.842
289,GRSF1,0.024,0.857
290,MYO1C,0.007,0.981
291,GNS,-0.733,0.001
292,GLOD4,-0.021,0.906
293,POLDIP3;PDIP46,-0.192,0.475
294,CAD,0.001,0.99
295,LIMA1,1.126,0.034
296,CDK4,-1.227,0.006
297,CHMP1A,-0.547,0.005
298,COPZ1,-0.001,0.988
299,SLC25A3,0.159,0.142
300,PCBP2,0.136,0.185
301,AK2,-0.042,0.662
302,MYL6,0.044,0.771
303,NRBP1,-0.096,0.598
304,HNRNPA1,0.374,0.028
305,MRE11A,-0.317,0.037
306,IGF2BP2,-2.15,0.0
307,NDUFV1,-0.33,0.026
308,DPP3,-0.044,0.827
309,API5,-0.362,0.057
310,NRD1,-0.089,0.482
311,GOLT1B,-0.016,0.862
312,SNW1,-0.382,0.025
313,NUMB,0.809,0.005
314,PSMA6,0.009,0.931
315,TMPO,-0.095,0.732
316,MRPS22,0.129,0.668
317,CELF1,-0.25,0.111
318,SEC24C,-0.025,0.781
319,STAT3,-0.518,0.014
320,,-1.551,0.0
321,HNRNPD,-0.036,0.706
322,DNPH1,-0.806,0.002
323,RRM2B,-1.231,0.04
324,TPD52,-0.238,0.042
325,DAK;TKFC,-0.448,0.278
326,CD44,0.552,0.051
327,TTC9C,-0.644,0.006
328,PPP5C,-1.902,0.016
329,HADHA,-0.143,0.215
330,REXO2,0.015,0.911
331,RPL18,0.565,0.003
332,YARS2,0.118,0.516
333,RPL28,0.448,0.087
334,TMOD3,0.297,0.228
335,PSMA4,-0.032,0.71
336,ANP32A,0.009,0.968
337,DUT,0.128,0.557
338,ARPP19;ENSA,-0.594,0.009
339,RNPS1,-0.381,0.029
340,IST1,-0.341,0.014
341,,0.653,0.024
342,RPS17,0.401,0.011
343,COX5A,0.077,0.385
344,HEXA,-1.06,0.0
345,FUS,0.01,0.946
346,PPP4C,0.137,0.599
347,DHX30,0.588,0.005
348,PDIA3,-0.34,0.039
349,PPP1R7,0.083,0.722
350,TRIM4,0.376,0.063
351,EBNA1BP2,-0.376,0.358
352,NAGK,-0.499,0.401
353,NSF,0.009,0.946
354,SLC25A11,-0.671,0.004
355,EIF5A;EIF5AL1;EIF5A2,-0.057,0.564
356,RPS15A,0.533,0.003
357,SRSF2,-0.095,0.333
358,OLA1,0.31,0.028
359,PTRH2,-0.128,0.195
360,SUMF2,-0.665,0.022
361,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.316,0.016
362,TBCD,-0.496,0.028
363,PPP4R1,0.054,0.759
364,DCXR,0.262,0.183
365,DDX5,-0.403,0.015
366,RPL19,0.155,0.135
367,SRSF1,0.153,0.169
368,CHERP,0.39,0.041
369,SNRPB;SNRPN,-0.093,0.304
370,MRPS23,0.047,0.665
371,RAB31;RAB22A,-1.193,0.001
372,MYL12B;MYL12A;MYL9,0.385,0.023
373,ZNF207,0.142,0.408
374,BUB3,-0.224,0.073
375,UNC13D,-0.179,0.2
376,KATNAL2,-0.139,0.376
377,LONP1,-0.751,0.026
378,PRKCSH,-0.103,0.314
379,SEH1L,0.042,0.739
380,EIF1;EIF1B,-0.068,0.556
381,U2AF2,-0.186,0.297
382,RNMT,-0.675,0.035
383,TBCB,-0.758,0.047
384,TXNL1,0.191,0.08
385,EIF3K,0.051,0.612
386,COPE,0.003,0.977
387,ETHE1,-0.253,0.211
388,HNRNPM,-0.202,0.304
389,EXOSC5,0.473,0.005
390,RPS5,0.352,0.012
391,RPL18A,0.387,0.012
392,AGPS,0.051,0.755
393,DDX39A,0.528,0.008
394,ACOT7,0.176,0.26
395,AIP,-0.193,0.479
396,AP3B1,0.072,0.687
397,PSMD11,0.055,0.558
398,PSMD12,-0.526,0.373
399,PGRMC1,-0.299,0.086
400,SUPT5H,0.335,0.013
401,DFFA,-0.064,0.536
402,CLIC1,0.125,0.206
403,EIF3F,0.401,0.009
404,IPO5,0.453,0.013
405,SAP18,0.046,0.769
406,DNM1L,0.101,0.451
407,PSMD14,0.317,0.038
408,KPNA3,-0.084,0.453
409,PODXL,-0.536,0.082
410,PPP6C,0.008,0.934
411,PDXK,-0.333,0.15
412,PDCD5,-0.199,0.303
413,PRMT5,0.596,0.007
414,SLC9A3R1,-0.253,0.044
415,TCERG1,-0.854,0.015
416,PSMA7,-0.032,0.728
417,SCAMP3,-0.448,0.138
418,IFIT3,-2.64,0.004
419,MGST3,-0.817,0.007
420,GIPC1,-0.492,0.02
421,HAT1,-0.15,0.274
422,UQCRQ,-0.645,0.052
423,XPO1,-0.204,0.109
424,U2SURP,-0.56,0.268
425,PFAS,0.102,0.266
426,ARPC1B,-0.102,0.306
427,ARPC3,-0.041,0.757
428,PGRMC2,-0.718,0.058
429,PFDN6,0.176,0.131
430,SURF4,-0.282,0.04
431,PPM1G,0.071,0.624
432,EIF3D,0.375,0.034
433,MAGEB2,0.006,0.963
434,YKT6,-0.198,0.48
435,ARPC5,0.48,0.043
436,DHX15,-0.034,0.72
437,PRPF4,-2.15,0.0
438,PSMD3,0.255,0.096
439,ZW10,-0.15,0.249
440,SART1,-0.528,0.02
441,HNRNPR,0.083,0.464
442,TPD52L2,-0.309,0.025
443,PPIH,0.213,0.13
444,AKR7A2,-0.92,0.0
445,EPB41L2,0.249,0.104
446,TRAPPC3,0.272,0.103
447,PLRG1,-0.011,0.935
448,NDUFA2,-0.268,0.091
449,ASNA1,-0.494,0.003
450,ACTN4,0.251,0.055
451,SGTA,-0.178,0.372
452,NARS,-0.169,0.219
453,NUDT21,0.013,0.886
454,RRP9,0.185,0.427
455,CALU,-0.839,0.032
456,AHCYL1;AHCYL2,-0.434,0.034
457,RAD21,-0.287,0.055
458,TIMM8A,0.027,0.906
459,SMARCA5;SMARCA1,-0.495,0.046
460,SPAG9,-0.427,0.01
461,SYNCRIP,0.227,0.077
462,PLIN3,-0.371,0.012
463,KPNA6,-0.203,0.343
464,UGDH,-0.596,0.013
465,SNX2,-0.62,0.003
466,USO1,-0.343,0.053
467,PFKFB2,1.316,0.01
468,CCDC22,-0.59,0.009
469,PQBP1,-0.096,0.299
470,EDF1,-0.787,0.001
471,DNAJA2,0.194,0.094
472,CUTA,-0.415,0.152
473,WDR1,0.385,0.012
474,CPNE3,-0.052,0.569
475,NDUFS2,-0.062,0.529
476,PDCD6,-0.289,0.038
477,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.613,0.002
478,H2AFY,-0.171,0.121
479,FLNB,0.72,0.003
480,SEC22B,-0.14,0.218
481,VPS26A,-0.801,0.004
482,PMPCB,0.135,0.332
483,PSIP1,-0.234,0.273
484,SRSF10,0.348,0.073
485,BANF1,-0.647,0.005
486,SF3B1,-0.295,0.026
487,CSDE1,-0.396,0.007
488,PRKRA,-0.231,0.293
489,NPM3,0.395,0.076
490,ERAL1,0.861,0.031
491,SNRNP200,-0.123,0.196
492,EIF3J,-1.228,0.293
493,ZMPSTE24,0.368,0.071
494,IDH1,-0.708,0.019
495,BCAS2,0.157,0.132
496,DNAJC8,0.647,0.06
497,ATP5H,-0.454,0.006
498,ATP5L,-0.192,0.189
499,GLRX3,-0.062,0.627
500,RSL1D1,0.103,0.474
501,CIAO1,-0.122,0.564
502,SRP72,-0.49,0.054
503,MTA2,-0.373,0.056
504,TOMM70A,0.244,0.113
505,GLS,0.321,0.259
506,PAPSS2,0.201,0.073
507,SMC2,-0.091,0.632
508,LYPLA2,-0.762,0.001
509,IPO7,0.301,0.117
510,AHSA1,-0.09,0.514
511,AP2A1;AP2A2,-0.395,0.009
512,BAG2,0.293,0.055
513,BAG3,0.006,0.957
514,AIFM1,-1.52,0.001
515,BPNT1,-0.381,0.031
516,FADS2,0.133,0.839
517,TXNDC12,-0.28,0.349
518,NDUFB10,-0.527,0.01
519,ACTL6A,-0.463,0.106
520,CYB5A,-0.212,0.346
521,LDHA,0.042,0.665
522,GLUD1;GLUD2,-0.442,0.009
523,CYB5R3,-0.332,0.136
524,GSR,0.057,0.532
525,MT-CO2,0.378,0.271
526,SOD1,-0.273,0.122
527,PNP,0.506,0.053
528,HPRT1,-0.265,0.049
529,GOT2,0.107,0.28
530,PGK1,-0.046,0.6
531,NRAS,-1.171,0.003
532,LMNA,-0.435,0.009
533,TFRC,0.791,0.011
534,CAT,-0.595,0.052
535,GBA,-1.789,0.0
536,ALDOA,0.033,0.737
537,ANXA1,0.228,0.085
538,SOD2,-1.638,0.0
539,OAT,0.381,0.016
540,TK1,-0.616,0.017
541,TUBB4A,0.705,0.001
542,GAPDH,0.061,0.484
543,HSPB1,-0.627,0.031
544,TYMS,-0.305,0.043
545,RPN1,-0.311,0.018
546,RPN2,-0.123,0.263
547,GNAI2,-0.38,0.01
548,ATP1A1,-0.015,0.866
549,ATP1B1,0.249,0.308
550,ALDH2,-0.057,0.622
551,SLC25A5,-0.02,0.814
552,ISG15,-1.301,0.001
553,EIF2S1,0.026,0.844
554,RPLP1,0.113,0.376
555,RPLP2,0.216,0.118
556,RPLP0;RPLP0P6,0.311,0.016
557,SSB,-0.007,0.968
558,ITGB1,0.118,0.221
559,KRT18,0.392,0.02
560,UROD,-0.487,0.003
561,CDK1;CDC2,-0.308,0.024
562,ATP5B,-0.067,0.582
563,ENO1,-0.044,0.638
564,PYGL,-0.322,0.098
565,GPI,0.009,0.917
566,NPM1,0.314,0.092
567,DBI,-1.238,0.0
568,LDHB,-0.01,0.912
569,P4HB,-0.237,0.047
570,ANXA2;ANXA2P2,0.023,0.843
571,CAPN1,-0.717,0.01
572,TUBB,0.103,0.26
573,PSAP,-0.913,0.105
574,PFN1,-0.118,0.227
575,APRT,-0.16,0.452
576,EPRS,-0.141,0.171
577,CTSB,-1.661,0.0
578,HSP90AA1,0.299,0.072
579,UQCRH;UQCRHL,0.04,0.681
580,FH,-0.146,0.232
581,ANXA6,-0.153,0.368
582,RHOC;RHOA,0.11,0.263
583,HSP90AB1,0.189,0.077
584,ASNS,-0.548,0.03
585,PDHA1;PDHA2,-0.101,0.357
586,CYC1,-0.107,0.557
587,MYL3;MYL1,0.115,0.495
588,SNRNP70,-0.538,0.047
589,VIM,0.534,0.004
590,ANXA5,-0.329,0.017
591,ENO2,-0.604,0.009
592,GSTP1,-0.252,0.152
593,SNRPC,0.169,0.38
594,LGALS1,-0.278,0.099
595,QDPR,-0.071,0.453
596,HMGB1,-0.209,0.063
597,CLTA,0.107,0.255
598,ANXA4,-0.652,0.026
599,DLD,-0.135,0.259
600,SNRPA1,0.311,0.075
601,PARP1,-0.213,0.053
602,LTA4H,0.135,0.285
603,ALDOC,-0.256,0.27
604,H2AFV;H2AFZ,-0.478,0.032
605,U2AF1,0.015,0.88
606,CALM2;CALM3;CALM1,0.071,0.503
607,TUBA3E,-0.161,0.36
