,Gene Name,log2(Fold change),P-value
271,TUBA1C,0.088,0.46
272,GRSF1,0.205,0.19
273,CPSF7,-0.565,0.02
274,GNS,-0.956,0.001
275,GLOD4,0.04,0.827
276,POLDIP3,-0.084,0.751
277,RANBP1,0.078,0.538
278,CAD,0.133,0.235
279,LIMA1,0.413,0.012
280,CHMP1A,-0.603,0.009
281,COPZ1,-0.187,0.121
282,SLC25A3,0.199,0.147
283,PPP1CC,0.004,0.977
284,PCBP2,0.001,0.99
285,AK2,-0.134,0.297
286,MYL6,0.016,0.921
287,NRBP1,0.411,0.081
288,HNRNPA1,0.25,0.075
289,MRE11A,-0.13,0.587
290,IGF2BP2,-2.429,0.0
291,EIF2A,-0.27,0.335
292,CAPRIN1,-0.309,0.078
293,DPP3,2.006,0.0
294,API5,-0.31,0.102
295,NRD1,0.169,0.187
296,RPL18,0.372,0.019
297,SNW1,-0.177,0.347
298,ERO1L,-0.29,0.325
299,PSMA6,0.031,0.797
300,PFN2,-0.252,0.075
301,MRPS22,0.005,0.986
302,CPSF3,-0.128,0.247
303,CELF1,0.081,0.563
304,ZYX,0.578,0.047
305,TLR9,-1.302,0.0
306,HNRNPD,0.115,0.297
307,DNPH1,-0.461,0.014
308,RRM2B,-0.93,0.075
309,TPD52,-0.352,0.022
310,CD44,0.671,0.048
311,HADHA,-0.137,0.282
312,REXO2,-0.094,0.519
313,RPL28,0.317,0.208
314,TMOD3,0.475,0.082
315,PSMA4,-0.041,0.692
316,FAH,0.166,0.491
317,RPS27L,-0.12,0.275
318,ANP32A,-0.128,0.527
319,DUT,0.166,0.43
320,RAB11A;RAB11B,-0.278,0.046
321,RNPS1,-0.458,0.021
322,IST1,-0.491,0.007
323,RPS17,0.348,0.026
324,COX5A,-0.152,0.183
325,HEXA,-0.98,0.001
326,FUS,-0.064,0.69
327,PFDN5,0.602,0.05
328,HAGH,-0.737,0.002
329,PDIA3,-0.246,0.063
330,EBNA1BP2,-0.09,0.542
331,SRRT,0.118,0.485
332,NSF,-0.241,0.113
333,EIF5A;EIF5AL1;EIF5A2,-0.125,0.297
334,C1QBP,0.002,0.983
335,RPS15A,0.412,0.031
336,SRSF2,-0.098,0.369
337,OLA1,0.279,0.058
338,PTRH2,0.13,0.403
339,SUMF2,-0.81,0.007
340,APOL2,0.985,0.03
341,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.226,0.184
342,NT5C,-0.062,0.624
343,PPP4R1,0.142,0.424
344,CBX1,-0.375,0.118
345,HN1,0.235,0.065
346,DDX5,-0.286,0.068
347,RPL19,0.054,0.605
348,SRSF1,0.117,0.316
349,SNRPB;SNRPN,-0.128,0.26
350,MRPS23,-0.164,0.189
351,PNPO,-0.533,0.006
352,MYL12B;MYL12A;MYL9,0.359,0.041
353,ZNF207,0.147,0.284
354,BUB3,-0.441,0.014
355,RPS15,0.117,0.335
356,LONP1,-0.649,0.037
357,PRKCSH,-0.228,0.082
358,SEH1L,0.258,0.094
359,PARK7,-0.457,0.01
360,PIN1,-0.295,0.171
361,U2AF2,-0.094,0.626
362,RNMT,-0.59,0.047
363,TBCB,-0.538,0.006
364,DNAJC7,-0.335,0.055
365,TMED1,-0.476,0.103
366,EIF3K,0.216,0.159
367,COPE,0.106,0.416
368,ETHE1,0.689,0.337
369,FBL,0.239,0.072
370,SLC1A5,-0.321,0.102
371,TIMM44,0.406,0.128
372,SH3GL1,-0.233,0.248
373,EXOSC5,-0.063,0.574
374,RPS5,0.198,0.097
375,NAPA,-0.592,0.01
376,RPL18A,0.293,0.044
377,AGPS,-0.088,0.55
378,DDX39A,0.813,0.001
379,ACOT7,0.01,0.941
380,AIP,-0.243,0.282
381,PSMD11,0.186,0.131
382,PSMD12,-0.34,0.509
383,PGRMC1,-0.3,0.077
384,SUPT5H,0.174,0.252
385,DFFA,0.054,0.694
386,CLIC1,-0.069,0.518
387,EIF3F,0.266,0.051
388,IPO5,0.31,0.04
389,DNM1L,0.137,0.348
390,PSMD14,0.314,0.049
391,KPNA3;KPNA4,-0.043,0.755
392,PODXL,-0.588,0.063
393,PPP6C,0.004,0.973
394,PDXK,-0.114,0.582
395,PDCD5,-0.189,0.322
396,PRMT5,0.529,0.02
397,SLC9A3R1,-0.17,0.168
398,TCERG1,-0.717,0.027
399,PSMA7,-0.163,0.167
400,GIPC1,-1.0,0.001
401,HAT1,-0.075,0.602
402,PPP1R12A,-0.096,0.586
403,XPO1,-0.376,0.039
404,KDM6B,-2.52,0.004
405,PFAS,0.284,0.079
406,ARPC1B,-0.458,0.017
407,ARPC3,-0.16,0.332
408,PFDN6,0.04,0.726
409,PMM2,-0.164,0.255
410,PPM1G,0.043,0.771
411,EIF3D,0.32,0.061
412,MAGEB2,-0.075,0.517
413,ARPC5,0.016,0.901
414,DHX15,0.173,0.153
415,PRPF4,-1.485,0.016
416,PSMD3,0.251,0.1
417,SART1,-0.207,0.096
418,HNRNPR,0.109,0.567
419,TXNL1,-0.144,0.198
420,TPD52L2,-0.478,0.021
421,PPIH,-0.091,0.465
422,AKR7A2,-0.706,0.001
423,EPB41L2,0.46,0.023
424,PLRG1,0.174,0.212
425,ASNA1,-0.563,0.007
426,ACTN4,-0.119,0.29
427,SGTA,-0.157,0.343
428,NARS,-0.299,0.122
429,NUDT21,-0.362,0.018
430,RRP9,0.073,0.73
431,CALU,-0.605,0.069
432,AHCYL1;AHCYL2,-0.378,0.03
433,TIMM8A,-0.073,0.748
434,SPAG9,-0.307,0.272
435,SYNCRIP,0.129,0.25
436,PLOD3,-0.481,0.013
437,PLIN3,-0.298,0.055
438,KPNA6,0.188,0.326
439,UGDH,-0.104,0.509
440,SNX2,-0.528,0.007
441,USO1,0.13,0.355
442,CCDC22,-0.186,0.487
443,PQBP1,0.223,0.101
444,EDF1,-0.635,0.002
