,Gene Name,log2(Fold change),P-value
344,SGTA,1.233,0.028
345,NARS,0.136,0.726
346,NUDT21,0.37,0.317
347,RRP9,0.23,0.798
348,CALU,0.177,0.643
349,TIMM8A,2.75,0.001
350,SPAG9,1.017,0.289
351,SYNCRIP,0.358,0.226
352,PLOD3,4.849,0.014
353,PLIN3,0.893,0.031
354,KPNA6;KPNA1,0.116,0.639
355,UGDH,0.524,0.088
356,SNX2,-2.403,0.253
357,USO1,2.186,0.007
358,PQBP1,0.374,0.193
359,EDF1,0.032,0.888
360,WDR1,0.98,0.014
361,CPNE3,0.971,0.011
362,NDUFS2,0.681,0.035
363,PDCD6,-0.596,0.129
364,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.982,0.273
365,H2AFY,0.21,0.409
366,FLNB,2.324,0.006
367,SEC22B,-0.163,0.537
368,VPS26A,-0.458,0.146
369,ERLIN1;ERLIN2,1.813,0.064
370,SRSF10,-2.106,0.003
371,BANF1,-2.211,0.003
372,SF3B1,0.705,0.035
373,CSDE1,0.556,0.076
374,NPM3,-0.26,0.863
375,SNRNP200,0.254,0.593
376,EIF3J,0.062,0.954
377,IDH1,0.801,0.051
378,ATP5H,1.321,0.143
379,ATP5L,1.607,0.008
380,GLRX3,3.072,0.0
381,RSL1D1,0.116,0.62
382,CIAO1,1.842,0.012
383,SRP72,0.41,0.232
384,MTA2,0.188,0.813
385,TOMM70A,0.774,0.077
386,GLS,1.096,0.071
387,NDUFB4,0.793,0.024
388,LYPLA2,2.659,0.001
389,IPO7,0.775,0.208
390,AHSA1,1.121,0.059
391,AP2A1,0.756,0.06
392,BAG2,1.094,0.006
393,BPNT1,0.63,0.072
394,TXNDC12,0.723,0.036
395,ACTL6A,1.699,0.028
396,LDHA,-0.17,0.489
397,GLUD1;GLUD2,0.402,0.173
398,CYB5R3,1.032,0.028
399,GSR,1.423,0.003
400,MT-CO2,1.689,0.022
401,SOD1,0.685,0.05
402,PNP,0.166,0.586
403,HPRT1,1.569,0.012
404,GOT2,-0.296,0.232
405,PGK1,-0.053,0.829
406,LMNA,0.282,0.259
407,TFRC,0.576,0.096
408,CAT,0.489,0.453
409,GBA,-0.007,0.982
410,ALDOA,-0.054,0.818
411,SOD2,0.059,0.833
412,OAT,0.086,0.73
413,TK1,-1.248,0.025
414,TUBB4A,0.501,0.087
415,GAPDH,-2.949,0.024
416,HSPB1,-1.051,0.021
417,TYMS,-0.895,0.019
418,RPN1,0.587,0.053
419,GNAI2,0.082,0.724
420,ATP1A1,1.201,0.012
421,ATP1B1,1.908,0.014
422,ALDH2,0.428,0.137
423,SLC25A5,-0.439,0.131
424,EIF2S1,-0.301,0.292
425,RPLP1,0.12,0.821
426,RPLP2,0.559,0.229
427,RPLP0,0.147,0.574
428,SSB,-0.727,0.038
429,KRT18,0.462,0.405
430,UROD,0.654,0.095
431,GLA,1.381,0.122
432,CDK1;CDC2,0.061,0.799
433,ATP5B,0.006,0.98
434,ENO1,-0.219,0.438
435,PYGL,1.085,0.025
436,GPI,0.611,0.091
437,NPM1,-0.33,0.333
438,DBI,0.336,0.398
439,LDHB,-0.654,0.041
440,P4HB,0.576,0.05
441,ANXA2;ANXA2P2,-0.114,0.636
442,CAPN1,0.608,0.068
443,TUBB,0.041,0.949
444,PSAP,-0.68,0.161
445,PFN1,-0.545,0.092
446,APRT,1.088,0.03
447,EPRS,0.963,0.01
448,CTSB,-1.199,0.046
449,HSP90AA1,0.455,0.183
450,FH,1.777,0.003
451,ANXA6,0.792,0.058
452,RHOC;RHOA,0.365,0.159
453,HSP90AB1,0.315,0.542
454,ASNS,-1.02,0.019
455,PDHA1,1.4,0.002
456,CYC1,0.861,0.031
457,MYL3;MYL1,-1.086,0.012
458,SNRNP70,0.627,0.182
459,VIM,0.04,0.907
460,ANXA5,-0.569,0.092
461,ENO2,-0.063,0.804
462,GSTP1,0.629,0.13
463,SNRPC,0.103,0.716
464,LGALS1,-0.81,0.033
465,HMGB1,0.292,0.232
466,RBP1,0.457,0.429
467,CLTA,-0.165,0.71
468,ANXA4,0.331,0.333
469,DLD,0.387,0.262
470,SNRPA1,1.828,0.028
471,COX6C,-0.003,0.994
472,PARP1,0.723,0.042
473,LTA4H,2.214,0.0
474,U2AF1,-0.252,0.587
475,CALM2;CALM3;CALM1,0.514,0.157
476,GAA,0.456,0.527
477,HIST1H1E;HIST1H1D,-1.097,0.025
478,TXN,0.383,0.602
479,ESD,1.594,0.071
480,HSPD1,0.246,0.304
481,HSPA5,0.396,0.124
482,HSPA8,-0.075,0.797
483,SLC2A3;SLC2A14,1.05,0.017
484,UMPS,0.808,0.029
485,PDHB,0.842,0.103
486,RALB;RALA,-0.7,0.074
487,LAMP1,0.204,0.43
488,TOP2A,0.121,0.771
489,G6PD,0.273,0.422
490,IGF2R,-0.757,0.233
491,PABPC1,0.006,0.98
492,PCNA,0.375,0.388
493,HARS,1.348,0.004
494,SLC25A6,1.071,0.025
495,IMPDH2,0.613,0.045
496,TPR,-2.025,0.001
497,CKB,2.329,0.0
498,CKMT1A;CKMT1B,-0.04,0.925
499,ACTN1,0.535,0.114
500,XRCC6,0.936,0.023
501,XRCC5,1.695,0.004
502,COX4I1,0.923,0.021
503,RNH1,0.823,0.023
504,EEF2,1.041,0.079
505,PDIA4,0.394,0.463
506,LCP1,0.393,0.508
507,ETFA,0.953,0.01
508,PRKAR2A,1.901,0.003
509,MTHFD2,2.356,0.003
510,MIF,-2.195,0.001
511,FDPS,1.139,0.018
512,AKR1A1,-0.305,0.318
513,PKM,-1.059,0.007
514,HSP90B1,0.07,0.755
515,COX6B1,-1.918,0.001
516,DARS,-0.036,0.879
517,UQCRB,1.92,0.02
518,AKR1B1,0.171,0.479
519,GSPT1;GSPT2,-0.395,0.133
520,EZR,0.49,0.114
521,RPS2,0.036,0.942
522,CBR1,0.609,0.043
523,HIST1H1C,-1.631,0.002
524,GOT1,0.308,0.227
525,ITGA2,0.32,0.441
526,CAPN2,1.048,0.029
527,TCP1,0.585,0.071
528,RPL35A,0.382,0.405
529,RPL7,0.113,0.806
530,VCL,1.649,0.008
531,PGAM1;PGAM4,-0.37,0.235
532,NCL,0.424,0.125
533,HK1,0.871,0.019
534,SRM,0.188,0.691
535,CSNK2A2,1.589,0.004
536,EIF2S2,0.622,0.112
537,ANXA7,0.721,0.033
538,BTF3,-1.143,0.025
539,PSMB1,1.118,0.03
540,M6PR,-0.244,0.347
541,COX5A,-0.841,0.015
542,LMNB1,-0.172,0.467
543,ATP6V1B2,0.015,0.955
544,ATP6V1C1,0.246,0.553
545,ACO1,1.884,0.015
546,VDAC1,0.381,0.216
547,TGM2,1.589,0.002
548,PCMT1,0.349,0.537
549,GART,0.323,0.362
550,PAICS,0.759,0.027
551,SCP2,0.93,0.013
552,UBA1,0.128,0.647
553,FDXR,3.692,0.004
554,HNRNPA2B1,0.197,0.533
555,UQCRC2,2.038,0.001
556,SFPQ,0.83,0.015
557,TUBG1;TUBG2,0.649,0.086
558,PPIB,-0.119,0.599
559,WARS,0.116,0.713
560,RPS3,0.183,0.498
561,AHCY,0.892,0.022
562,CFL1,1.011,0.017
563,DTYMK,0.154,0.675
564,EEF1B2,1.029,0.019
565,ATP5F1,1.034,0.046
566,MCM3,0.779,0.07
567,RPS12,0.561,0.063
568,ATP5A1,0.334,0.192
569,PSMA1,0.083,0.719
570,PSMA3,1.036,0.021
571,ITGA3,-0.013,0.962
572,MSN,0.295,0.335
573,DDX6,0.47,0.181
574,RPL13,-0.149,0.617
575,HMGB2,2.63,0.0
576,PTBP1,0.073,0.751
577,TARS,0.956,0.012
578,VARS,0.937,0.01
579,EEF1G,0.626,0.109
580,YWHAQ,0.53,0.218
581,RPL10;RPL10L,-0.133,0.566
582,CALR,0.119,0.6
583,CANX,0.176,0.613
584,PSMB8;PSM8,1.069,0.023
585,PSMA5,-0.854,0.024
586,PSMB4,0.987,0.009
587,PSMB6,1.421,0.012
588,PSMB5,1.448,0.03
589,NDUFS1,0.918,0.092
590,MAPK1,-0.061,0.805
591,LAP3,0.536,0.08
592,IMPA1,1.178,0.006
593,TKT,1.124,0.006
594,ERP29,-0.29,0.346
595,PRDX6,-0.022,0.923
596,BLVRB,-1.019,0.011
